state_id,subdivision,year,month,season,regime_id,regime_assignment_version,previous_state_id,previous_regime_id,regime_changed,consecutive_months_in_current_regime,regime_duration
andaman_nicobar_islands_1912_01,Andaman & Nicobar Islands,1912,1,WINTER,REGIME_01,v1,andaman_nicobar_islands_1911_12,REGIME_01,False,2,2
andaman_nicobar_islands_1912_02,Andaman & Nicobar Islands,1912,2,WINTER,REGIME_01,v1,andaman_nicobar_islands_1912_01,REGIME_01,False,3,3
andaman_nicobar_islands_1912_03,Andaman & Nicobar Islands,1912,3,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1912_02,REGIME_01,False,4,4
andaman_nicobar_islands_1912_04,Andaman & Nicobar Islands,1912,4,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1912_03,REGIME_01,False,5,5
andaman_nicobar_islands_1912_05,Andaman & Nicobar Islands,1912,5,PRE_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1912_04,REGIME_01,True,1,1
andaman_nicobar_islands_1912_06,Andaman & Nicobar Islands,1912,6,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1912_05,REGIME_02,True,1,1
andaman_nicobar_islands_1912_07,Andaman & Nicobar Islands,1912,7,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1912_06,REGIME_01,False,2,2
andaman_nicobar_islands_1912_08,Andaman & Nicobar Islands,1912,8,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1912_07,REGIME_01,False,3,3
andaman_nicobar_islands_1912_09,Andaman & Nicobar Islands,1912,9,MONSOON,REGIME_02,v1,andaman_nicobar_islands_1912_08,REGIME_01,True,1,1
andaman_nicobar_islands_1912_10,Andaman & Nicobar Islands,1912,10,POST_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1912_09,REGIME_02,True,1,1
andaman_nicobar_islands_1912_11,Andaman & Nicobar Islands,1912,11,POST_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1912_10,REGIME_01,True,1,1
andaman_nicobar_islands_1912_12,Andaman & Nicobar Islands,1912,12,POST_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1912_11,REGIME_02,False,2,2
andaman_nicobar_islands_1913_01,Andaman & Nicobar Islands,1913,1,WINTER,REGIME_01,v1,andaman_nicobar_islands_1912_12,REGIME_02,True,1,1
andaman_nicobar_islands_1913_02,Andaman & Nicobar Islands,1913,2,WINTER,REGIME_01,v1,andaman_nicobar_islands_1913_01,REGIME_01,False,2,2
andaman_nicobar_islands_1913_03,Andaman & Nicobar Islands,1913,3,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1913_02,REGIME_01,False,3,3
andaman_nicobar_islands_1913_04,Andaman & Nicobar Islands,1913,4,PRE_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1913_03,REGIME_01,True,1,1
andaman_nicobar_islands_1913_05,Andaman & Nicobar Islands,1913,5,PRE_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1913_04,REGIME_02,False,2,2
andaman_nicobar_islands_1913_06,Andaman & Nicobar Islands,1913,6,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1913_05,REGIME_02,True,1,1
andaman_nicobar_islands_1913_07,Andaman & Nicobar Islands,1913,7,MONSOON,REGIME_02,v1,andaman_nicobar_islands_1913_06,REGIME_01,True,1,1
andaman_nicobar_islands_1913_08,Andaman & Nicobar Islands,1913,8,MONSOON,REGIME_02,v1,andaman_nicobar_islands_1913_07,REGIME_02,False,2,2
andaman_nicobar_islands_1913_09,Andaman & Nicobar Islands,1913,9,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1913_08,REGIME_02,True,1,1
andaman_nicobar_islands_1913_10,Andaman & Nicobar Islands,1913,10,POST_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1913_09,REGIME_01,False,2,2
andaman_nicobar_islands_1913_11,Andaman & Nicobar Islands,1913,11,POST_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1913_10,REGIME_01,True,1,1
andaman_nicobar_islands_1913_12,Andaman & Nicobar Islands,1913,12,POST_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1913_11,REGIME_02,False,2,2
andaman_nicobar_islands_1914_01,Andaman & Nicobar Islands,1914,1,WINTER,REGIME_01,v1,andaman_nicobar_islands_1913_12,REGIME_02,True,1,1
andaman_nicobar_islands_1914_02,Andaman & Nicobar Islands,1914,2,WINTER,REGIME_01,v1,andaman_nicobar_islands_1914_01,REGIME_01,False,2,2
andaman_nicobar_islands_1914_03,Andaman & Nicobar Islands,1914,3,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1914_02,REGIME_01,False,3,3
andaman_nicobar_islands_1914_04,Andaman & Nicobar Islands,1914,4,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1914_03,REGIME_01,False,4,4
andaman_nicobar_islands_1914_05,Andaman & Nicobar Islands,1914,5,PRE_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1914_04,REGIME_01,True,1,1
andaman_nicobar_islands_1914_06,Andaman & Nicobar Islands,1914,6,MONSOON,REGIME_02,v1,andaman_nicobar_islands_1914_05,REGIME_02,False,2,2
andaman_nicobar_islands_1914_07,Andaman & Nicobar Islands,1914,7,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1914_06,REGIME_02,True,1,1
andaman_nicobar_islands_1914_08,Andaman & Nicobar Islands,1914,8,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1914_07,REGIME_01,False,2,2
andaman_nicobar_islands_1914_09,Andaman & Nicobar Islands,1914,9,MONSOON,REGIME_02,v1,andaman_nicobar_islands_1914_08,REGIME_01,True,1,1
andaman_nicobar_islands_1914_10,Andaman & Nicobar Islands,1914,10,POST_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1914_09,REGIME_02,False,2,2
andaman_nicobar_islands_1914_11,Andaman & Nicobar Islands,1914,11,POST_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1914_10,REGIME_02,True,1,1
andaman_nicobar_islands_1914_12,Andaman & Nicobar Islands,1914,12,POST_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1914_11,REGIME_01,False,2,2
andaman_nicobar_islands_1915_01,Andaman & Nicobar Islands,1915,1,WINTER,REGIME_01,v1,andaman_nicobar_islands_1914_12,REGIME_01,False,3,3
andaman_nicobar_islands_1915_02,Andaman & Nicobar Islands,1915,2,WINTER,REGIME_01,v1,andaman_nicobar_islands_1915_01,REGIME_01,False,4,4
andaman_nicobar_islands_1915_03,Andaman & Nicobar Islands,1915,3,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1915_02,REGIME_01,False,5,5
andaman_nicobar_islands_1915_04,Andaman & Nicobar Islands,1915,4,PRE_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1915_03,REGIME_01,False,6,6
andaman_nicobar_islands_1915_05,Andaman & Nicobar Islands,1915,5,PRE_MONSOON,REGIME_02,v1,andaman_nicobar_islands_1915_04,REGIME_01,True,1,1
andaman_nicobar_islands_1915_06,Andaman & Nicobar Islands,1915,6,MONSOON,REGIME_02,v1,andaman_nicobar_islands_1915_05,REGIME_02,False,2,2
andaman_nicobar_islands_1915_07,Andaman & Nicobar Islands,1915,7,MONSOON,REGIME_02,v1,andaman_nicobar_islands_1915_06,REGIME_02,False,3,3
andaman_nicobar_islands_1915_08,Andaman & Nicobar Islands,1915,8,MONSOON,REGIME_02,v1,andaman_nicobar_islands_1915_07,REGIME_02,False,4,4
andaman_nicobar_islands_1915_09,Andaman & Nicobar Islands,1915,9,MONSOON,REGIME_01,v1,andaman_nicobar_islands_1915_08,REGIME_02,True,1,1
andaman_nicobar_islands_1915_10,Andaman & Nicobar Islands,1915,10,POST_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1915_09,REGIME_01,False,2,2
andaman_nicobar_islands_1915_11,Andaman & Nicobar Islands,1915,11,POST_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1915_10,REGIME_01,False,3,3
andaman_nicobar_islands_1915_12,Andaman & Nicobar Islands,1915,12,POST_MONSOON,REGIME_01,v1,andaman_nicobar_islands_1915_11,REGIME_01,False,4,4
