subdivision,previous_state_id,current_state_id,previous_regime_id,current_regime_id,regime_changed,months_in_previous_regime
Andaman & Nicobar Islands,andaman_nicobar_islands_1915_01,andaman_nicobar_islands_1915_02,REGIME_01,REGIME_01,False,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1915_02,andaman_nicobar_islands_1915_03,REGIME_01,REGIME_01,False,4
Andaman & Nicobar Islands,andaman_nicobar_islands_1915_03,andaman_nicobar_islands_1915_04,REGIME_01,REGIME_01,False,5
Andaman & Nicobar Islands,andaman_nicobar_islands_1915_04,andaman_nicobar_islands_1915_05,REGIME_01,REGIME_02,True,6
Andaman & Nicobar Islands,andaman_nicobar_islands_1915_05,andaman_nicobar_islands_1915_06,REGIME_02,REGIME_02,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1915_06,andaman_nicobar_islands_1915_07,REGIME_02,REGIME_02,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1915_07,andaman_nicobar_islands_1915_08,REGIME_02,REGIME_02,False,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1915_08,andaman_nicobar_islands_1915_09,REGIME_02,REGIME_01,True,4
Andaman & Nicobar Islands,andaman_nicobar_islands_1915_09,andaman_nicobar_islands_1915_10,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1915_10,andaman_nicobar_islands_1915_11,REGIME_01,REGIME_01,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1915_11,andaman_nicobar_islands_1915_12,REGIME_01,REGIME_01,False,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1915_12,andaman_nicobar_islands_1916_01,REGIME_01,REGIME_02,True,4
Andaman & Nicobar Islands,andaman_nicobar_islands_1916_01,andaman_nicobar_islands_1916_02,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1916_02,andaman_nicobar_islands_1916_03,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1916_03,andaman_nicobar_islands_1916_04,REGIME_01,REGIME_02,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1916_04,andaman_nicobar_islands_1916_05,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1916_05,andaman_nicobar_islands_1916_06,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1916_06,andaman_nicobar_islands_1916_07,REGIME_01,REGIME_02,True,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1916_07,andaman_nicobar_islands_1916_08,REGIME_02,REGIME_01,True,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1916_08,andaman_nicobar_islands_1916_09,REGIME_01,REGIME_01,False,1
Andaman & Nicobar Islands,andaman_nicobar_islands_1916_09,andaman_nicobar_islands_1916_10,REGIME_01,REGIME_01,False,2
Andaman & Nicobar Islands,andaman_nicobar_islands_1916_10,andaman_nicobar_islands_1916_11,REGIME_01,REGIME_01,False,3
Andaman & Nicobar Islands,andaman_nicobar_islands_1916_11,andaman_nicobar_islands_1916_12,REGIME_01,REGIME_01,False,4
Andaman & Nicobar Islands,andaman_nicobar_islands_1916_12,andaman_nicobar_islands_1917_01,REGIME_01,REGIME_01,False,5
