subdivision,from_regime,to_regime,transition_count,transition_probability
Tamil Nadu,REGIME_02,REGIME_01,80,0.05714285714285714
Tamil Nadu,REGIME_02,REGIME_02,28,0.02
Telangana,REGIME_01,REGIME_01,1139,0.8135714285714286
Telangana,REGIME_01,REGIME_02,111,0.07928571428571428
Telangana,REGIME_02,REGIME_01,110,0.07857142857142857
Telangana,REGIME_02,REGIME_02,40,0.02857142857142857
Uttarakhand,REGIME_01,REGIME_01,1134,0.81
Uttarakhand,REGIME_01,REGIME_02,109,0.07785714285714286
Uttarakhand,REGIME_02,REGIME_01,109,0.07785714285714286
Uttarakhand,REGIME_02,REGIME_02,48,0.03428571428571429
Vidarbha,REGIME_01,REGIME_01,1155,0.825
Vidarbha,REGIME_01,REGIME_02,106,0.07571428571428572
Vidarbha,REGIME_02,REGIME_01,106,0.07571428571428572
Vidarbha,REGIME_02,REGIME_02,33,0.023571428571428573
West Madhya Pradesh,REGIME_01,REGIME_01,1134,0.81
West Madhya Pradesh,REGIME_01,REGIME_02,120,0.08571428571428572
West Madhya Pradesh,REGIME_02,REGIME_01,120,0.08571428571428572
West Madhya Pradesh,REGIME_02,REGIME_02,26,0.018571428571428572
West Rajasthan,REGIME_01,REGIME_01,1335,0.9535714285714286
West Rajasthan,REGIME_01,REGIME_02,30,0.02142857142857143
West Rajasthan,REGIME_02,REGIME_01,30,0.02142857142857143
West Rajasthan,REGIME_02,REGIME_02,5,0.0035714285714285713
West Uttar Pradesh,REGIME_01,REGIME_01,1183,0.845
West Uttar Pradesh,REGIME_01,REGIME_02,92,0.06571428571428571
West Uttar Pradesh,REGIME_02,REGIME_01,92,0.06571428571428571
West Uttar Pradesh,REGIME_02,REGIME_02,33,0.023571428571428573
