threshold,observations,events,alerts,true_negatives,false_positives,false_negatives,true_positives,precision,recall,f1,alert_rate,probability_type
0.22,756,31,159,579,146,18,13,0.08176100628930817,0.41935483870967744,0.1368421052631579,0.21031746031746032,isotonic_probability
0.225,756,31,142,595,130,19,12,0.08450704225352113,0.3870967741935484,0.13872832369942195,0.18783068783068782,isotonic_probability
0.23,756,31,141,596,129,19,12,0.0851063829787234,0.3870967741935484,0.13953488372093023,0.1865079365079365,isotonic_probability
0.235,756,31,139,598,127,19,12,0.08633093525179857,0.3870967741935484,0.1411764705882353,0.18386243386243387,isotonic_probability
0.24,756,31,32,696,29,28,3,0.09375,0.0967741935483871,0.09523809523809523,0.042328042328042326,isotonic_probability
0.245,756,31,32,696,29,28,3,0.09375,0.0967741935483871,0.09523809523809523,0.042328042328042326,isotonic_probability
0.25,756,31,32,696,29,28,3,0.09375,0.0967741935483871,0.09523809523809523,0.042328042328042326,isotonic_probability
0.255,756,31,32,696,29,28,3,0.09375,0.0967741935483871,0.09523809523809523,0.042328042328042326,isotonic_probability
0.26,756,31,32,696,29,28,3,0.09375,0.0967741935483871,0.09523809523809523,0.042328042328042326,isotonic_probability
0.265,756,31,32,696,29,28,3,0.09375,0.0967741935483871,0.09523809523809523,0.042328042328042326,isotonic_probability
0.27,756,31,32,696,29,28,3,0.09375,0.0967741935483871,0.09523809523809523,0.042328042328042326,isotonic_probability
0.275,756,31,32,696,29,28,3,0.09375,0.0967741935483871,0.09523809523809523,0.042328042328042326,isotonic_probability
0.28,756,31,32,696,29,28,3,0.09375,0.0967741935483871,0.09523809523809523,0.042328042328042326,isotonic_probability
0.285,756,31,32,696,29,28,3,0.09375,0.0967741935483871,0.09523809523809523,0.042328042328042326,isotonic_probability
0.29,756,31,32,696,29,28,3,0.09375,0.0967741935483871,0.09523809523809523,0.042328042328042326,isotonic_probability
0.295,756,31,32,696,29,28,3,0.09375,0.0967741935483871,0.09523809523809523,0.042328042328042326,isotonic_probability
0.3,756,31,32,696,29,28,3,0.09375,0.0967741935483871,0.09523809523809523,0.042328042328042326,isotonic_probability
0.305,756,31,31,697,28,28,3,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.041005291005291,isotonic_probability
0.31,756,31,31,697,28,28,3,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.041005291005291,isotonic_probability
0.315,756,31,31,697,28,28,3,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.041005291005291,isotonic_probability
0.32,756,31,31,697,28,28,3,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.041005291005291,isotonic_probability
0.325,756,31,31,697,28,28,3,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.041005291005291,isotonic_probability
0.33,756,31,31,697,28,28,3,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.041005291005291,isotonic_probability
0.335,756,31,31,697,28,28,3,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.041005291005291,isotonic_probability
0.34,756,31,31,697,28,28,3,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.041005291005291,isotonic_probability
0.345,756,31,31,697,28,28,3,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.041005291005291,isotonic_probability
0.35,756,31,30,698,27,28,3,0.1,0.0967741935483871,0.09836065573770492,0.03968253968253968,isotonic_probability
0.355,756,31,30,698,27,28,3,0.1,0.0967741935483871,0.09836065573770492,0.03968253968253968,isotonic_probability
0.36,756,31,30,698,27,28,3,0.1,0.0967741935483871,0.09836065573770492,0.03968253968253968,isotonic_probability
0.365,756,31,30,698,27,28,3,0.1,0.0967741935483871,0.09836065573770492,0.03968253968253968,isotonic_probability
0.37,756,31,30,698,27,28,3,0.1,0.0967741935483871,0.09836065573770492,0.03968253968253968,isotonic_probability
0.375,756,31,30,698,27,28,3,0.1,0.0967741935483871,0.09836065573770492,0.03968253968253968,isotonic_probability
0.38,756,31,30,698,27,28,3,0.1,0.0967741935483871,0.09836065573770492,0.03968253968253968,isotonic_probability
0.385,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.39,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.395,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.4,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.405,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.41,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.415,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.42,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.425,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.43,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.435,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.44,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
0.445,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,isotonic_probability
