threshold,observations,events,alerts,true_negatives,false_positives,false_negatives,true_positives,precision,recall,f1,alert_rate,probability_type
0.205,756,31,10,715,10,31,0,0.0,0.0,0.0,0.013227513227513227,sigmoid_probability
0.21,756,31,10,715,10,31,0,0.0,0.0,0.0,0.013227513227513227,sigmoid_probability
0.215,756,31,9,716,9,31,0,0.0,0.0,0.0,0.011904761904761904,sigmoid_probability
0.22,756,31,8,717,8,31,0,0.0,0.0,0.0,0.010582010582010581,sigmoid_probability
0.225,756,31,8,717,8,31,0,0.0,0.0,0.0,0.010582010582010581,sigmoid_probability
0.23,756,31,8,717,8,31,0,0.0,0.0,0.0,0.010582010582010581,sigmoid_probability
0.235,756,31,8,717,8,31,0,0.0,0.0,0.0,0.010582010582010581,sigmoid_probability
0.24,756,31,8,717,8,31,0,0.0,0.0,0.0,0.010582010582010581,sigmoid_probability
0.245,756,31,8,717,8,31,0,0.0,0.0,0.0,0.010582010582010581,sigmoid_probability
0.25,756,31,6,719,6,31,0,0.0,0.0,0.0,0.007936507936507936,sigmoid_probability
0.255,756,31,6,719,6,31,0,0.0,0.0,0.0,0.007936507936507936,sigmoid_probability
0.26,756,31,6,719,6,31,0,0.0,0.0,0.0,0.007936507936507936,sigmoid_probability
0.265,756,31,6,719,6,31,0,0.0,0.0,0.0,0.007936507936507936,sigmoid_probability
0.27,756,31,6,719,6,31,0,0.0,0.0,0.0,0.007936507936507936,sigmoid_probability
0.275,756,31,6,719,6,31,0,0.0,0.0,0.0,0.007936507936507936,sigmoid_probability
0.28,756,31,6,719,6,31,0,0.0,0.0,0.0,0.007936507936507936,sigmoid_probability
0.285,756,31,6,719,6,31,0,0.0,0.0,0.0,0.007936507936507936,sigmoid_probability
0.29,756,31,6,719,6,31,0,0.0,0.0,0.0,0.007936507936507936,sigmoid_probability
0.295,756,31,6,719,6,31,0,0.0,0.0,0.0,0.007936507936507936,sigmoid_probability
0.3,756,31,6,719,6,31,0,0.0,0.0,0.0,0.007936507936507936,sigmoid_probability
0.305,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,sigmoid_probability
0.31,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,sigmoid_probability
0.315,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,sigmoid_probability
0.32,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,sigmoid_probability
0.325,756,31,4,721,4,31,0,0.0,0.0,0.0,0.005291005291005291,sigmoid_probability
0.33,756,31,1,724,1,31,0,0.0,0.0,0.0,0.0013227513227513227,sigmoid_probability
0.335,756,31,1,724,1,31,0,0.0,0.0,0.0,0.0013227513227513227,sigmoid_probability
0.34,756,31,1,724,1,31,0,0.0,0.0,0.0,0.0013227513227513227,sigmoid_probability
0.345,756,31,1,724,1,31,0,0.0,0.0,0.0,0.0013227513227513227,sigmoid_probability
0.35,756,31,1,724,1,31,0,0.0,0.0,0.0,0.0013227513227513227,sigmoid_probability
0.355,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.36,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.365,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.37,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.375,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.38,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.385,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.39,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.395,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.4,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.405,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.41,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.415,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.42,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.425,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.43,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.435,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.44,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.445,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.45,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.455,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.46,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.465,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.47,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.475,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.48,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.485,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.49,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.495,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
0.5,756,31,0,725,0,31,0,0.0,0.0,0.0,0.0,sigmoid_probability
