season,threshold,observations,events,event_rate,alerts,alert_rate,precision,recall,f1
PRE_MONSOON,0.039999999999999994,1908,25,0.01310272536687631,110,0.057651991614255764,0.00909090909090909,0.04,0.014814814814814815
PRE_MONSOON,0.049999999999999996,1908,25,0.01310272536687631,69,0.036163522012578615,0.0,0.0,0.0
PRE_MONSOON,0.06,1908,25,0.01310272536687631,46,0.02410901467505241,0.0,0.0,0.0
PRE_MONSOON,0.06999999999999999,1908,25,0.01310272536687631,34,0.01781970649895178,0.0,0.0,0.0
PRE_MONSOON,0.07999999999999999,1908,25,0.01310272536687631,25,0.01310272536687631,0.0,0.0,0.0
PRE_MONSOON,0.09,1908,25,0.01310272536687631,17,0.00890985324947589,0.0,0.0,0.0
PRE_MONSOON,0.09999999999999999,1908,25,0.01310272536687631,11,0.005765199161425576,0.0,0.0,0.0
PRE_MONSOON,0.10999999999999999,1908,25,0.01310272536687631,7,0.003668763102725367,0.0,0.0,0.0
PRE_MONSOON,0.11999999999999998,1908,25,0.01310272536687631,5,0.002620545073375262,0.0,0.0,0.0
PRE_MONSOON,0.12999999999999998,1908,25,0.01310272536687631,1,0.0005241090146750524,0.0,0.0,0.0
PRE_MONSOON,0.13999999999999999,1908,25,0.01310272536687631,0,0.0,0.0,0.0,0.0
PRE_MONSOON,0.14999999999999997,1908,25,0.01310272536687631,0,0.0,0.0,0.0,0.0
MONSOON,0.02,2592,283,0.1091820987654321,2249,0.8676697530864198,0.11916407292129835,0.9469964664310954,0.21169036334913113
MONSOON,0.03,2592,283,0.1091820987654321,2077,0.8013117283950617,0.12518054886856042,0.9187279151943463,0.22033898305084745
MONSOON,0.039999999999999994,2592,283,0.1091820987654321,1926,0.7430555555555556,0.1308411214953271,0.8904593639575972,0.22815753734721594
MONSOON,0.049999999999999996,2592,283,0.1091820987654321,1795,0.6925154320987654,0.13481894150417828,0.8551236749116607,0.2329162656400385
MONSOON,0.06,2592,283,0.1091820987654321,1629,0.6284722222222222,0.13996316758747698,0.8056537102473498,0.2384937238493724
MONSOON,0.06999999999999999,2592,283,0.1091820987654321,1435,0.5536265432098766,0.14982578397212543,0.7597173144876325,0.25029103608847497
MONSOON,0.07999999999999999,2592,283,0.1091820987654321,1259,0.48572530864197533,0.15409054805401112,0.6855123674911661,0.251621271076524
MONSOON,0.09,2592,283,0.1091820987654321,1080,0.4166666666666667,0.15925925925925927,0.607773851590106,0.2523844460748349
MONSOON,0.09999999999999999,2592,283,0.1091820987654321,855,0.3298611111111111,0.16608187134502925,0.5017667844522968,0.24956063268892795
MONSOON,0.10999999999999999,2592,283,0.1091820987654321,634,0.24459876543209877,0.17034700315457413,0.38162544169611307,0.23555070883315157
MONSOON,0.11999999999999998,2592,283,0.1091820987654321,424,0.16358024691358025,0.18867924528301888,0.2826855123674912,0.2263083451202263
MONSOON,0.12999999999999998,2592,283,0.1091820987654321,234,0.09027777777777778,0.17094017094017094,0.1413427561837456,0.15473887814313347
MONSOON,0.13999999999999999,2592,283,0.1091820987654321,98,0.03780864197530864,0.17346938775510204,0.06007067137809187,0.08923884514435695
MONSOON,0.14999999999999997,2592,283,0.1091820987654321,33,0.01273148148148148,0.18181818181818182,0.02120141342756184,0.0379746835443038
POST_MONSOON,0.02,1224,4,0.0032679738562091504,37,0.03022875816993464,0.02702702702702703,0.25,0.04878048780487805
POST_MONSOON,0.03,1224,4,0.0032679738562091504,13,0.010620915032679739,0.07692307692307693,0.25,0.11764705882352941
POST_MONSOON,0.039999999999999994,1224,4,0.0032679738562091504,3,0.0024509803921568627,0.3333333333333333,0.25,0.2857142857142857
POST_MONSOON,0.049999999999999996,1224,4,0.0032679738562091504,0,0.0,0.0,0.0,0.0
POST_MONSOON,0.06,1224,4,0.0032679738562091504,0,0.0,0.0,0.0,0.0
POST_MONSOON,0.06999999999999999,1224,4,0.0032679738562091504,0,0.0,0.0,0.0,0.0
POST_MONSOON,0.07999999999999999,1224,4,0.0032679738562091504,0,0.0,0.0,0.0,0.0
POST_MONSOON,0.09,1224,4,0.0032679738562091504,0,0.0,0.0,0.0,0.0
POST_MONSOON,0.09999999999999999,1224,4,0.0032679738562091504,0,0.0,0.0,0.0,0.0
POST_MONSOON,0.10999999999999999,1224,4,0.0032679738562091504,0,0.0,0.0,0.0,0.0
