subdivision,season,years_observed,observations,average_rainfall_mm,rainfall_std_mm,average_zscore,minimum_zscore,dry_months,dry_month_pct
Gangetic West Bengal,PRE_MONSOON,117,351,60.4059829059829,51.5489115150677,1.0099945571242743e-16,-1.807902765604736,28,7.977207977207977
Gangetic West Bengal,WINTER,117,234,17.434615384615384,20.505873712631434,5.0292154106951536e-17,-0.929531902739814,0,0.0
Gujarat Region,MONSOON,117,468,219.4275641025641,155.24963729745585,3.368625416597697e-17,-1.9537961454506407,72,15.384615384615385
Gujarat Region,POST_MONSOON,117,351,9.712820512820512,23.519943653218,1.2652114240742525e-18,-0.6054088148018293,0,0.0
Gujarat Region,PRE_MONSOON,117,351,2.672649572649573,9.006245045347692,4.839433697084016e-17,-0.4118052997047698,0,0.0
Gujarat Region,WINTER,117,234,1.4632478632478632,3.905703945729976,1.731758136701633e-17,-0.4108450384999035,0,0.0
Haryana Delhi & Chandigarh,MONSOON,117,468,109.07820512820513,78.64852855781224,2.1884203850784335e-17,-1.8840230622538665,64,13.675213675213676
Haryana Delhi & Chandigarh,POST_MONSOON,117,351,7.660113960113961,16.08285170124126,-3.542591987407907e-17,-0.6615298370976253,0,0.0
Haryana Delhi & Chandigarh,PRE_MONSOON,117,351,11.7,14.89616441523503,1.7554808509030252e-17,-0.923700253743198,0,0.0
Haryana Delhi & Chandigarh,WINTER,117,234,17.02051282051282,17.242623793157676,6.1679056923619804e-18,-1.0868516840925773,17,7.264957264957266
Himachal Pradesh,MONSOON,117,468,193.4638888888889,118.21894796009973,2.9843174465351433e-16,-2.078348112906025,63,13.461538461538462
Himachal Pradesh,POST_MONSOON,117,351,28.966951566951565,39.141778798844186,8.777404254515126e-18,-1.086005513490368,16,4.5584045584045585
Himachal Pradesh,PRE_MONSOON,117,351,73.89914529914529,51.11946986489003,1.215789102821352e-16,-1.6260712690972243,48,13.675213675213676
Himachal Pradesh,WINTER,117,234,87.16111111111111,52.20205117042451,-1.4802973661668753e-16,-1.7122305947591323,36,15.384615384615385
Jammu & Kashmir,MONSOON,117,468,128.46980728051392,84.97376752850572,-9.224122774187597e-17,-1.863642413162536,54,11.538461538461538
Jammu & Kashmir,POST_MONSOON,117,351,37.53982808022923,40.32138334857538,3.817385758023461e-18,-1.1357662411021807,18,5.128205128205128
Jammu & Kashmir,PRE_MONSOON,117,351,97.5957264957265,60.18779476627999,7.654529115649228e-17,-1.8300123545452205,50,14.245014245014245
Jammu & Kashmir,WINTER,117,234,108.7653846153846,67.20321783679464,4.471731626962436e-17,-1.5755931625082094,32,13.675213675213676
Jharkhand,MONSOON,117,468,270.9696581196581,102.39259133590895,1.2335811384723961e-17,-2.298871380351628,67,14.316239316239315
Jharkhand,POST_MONSOON,117,351,32.17236467236467,52.12640794774953,3.0997679889819184e-17,-1.2068224972959165,6,1.7094017094017095
Jharkhand,PRE_MONSOON,117,351,28.661538461538463,26.15415240286116,-8.983001110927193e-17,-1.5925393093808975,29,8.262108262108262
Jharkhand,WINTER,117,234,20.655128205128207,23.348589837683686,-1.2810265668751807e-17,-0.9237509226235636,0,0.0
Kerala,MONSOON,117,468,503.92457264957267,254.3371496045788,-8.635067969306773e-17,-2.450640576669554,71,15.17094017094017
Kerala,POST_MONSOON,117,351,164.82706552706554,127.9895867737181,-8.160613685278929e-17,-2.35062807731464,48,13.675213675213676
Kerala,PRE_MONSOON,117,351,125.5102564102564,120.79263793882384,1.500461673238059e-16,-2.1324167179548947,38,10.826210826210826
Kerala,WINTER,117,234,13.773076923076923,15.829526437329354,-4.839433697084016e-17,-0.95328064075506,0,0.0
Konkan & Goa,MONSOON,117,468,701.0480769230769,339.894974987848,1.1956247957501685e-16,-2.438763153610183,80,17.094017094017094
Konkan & Goa,POST_MONSOON,117,351,47.54159544159544,72.6431971587656,-4.4282399842598836e-18,-1.2233460773907716,14,3.9886039886039883
Konkan & Goa,PRE_MONSOON,117,351,12.975498575498575,36.8186959219575,9.963539964584738e-18,-0.5761164805285758,0,0.0
Konkan & Goa,WINTER,117,234,0.8897435897435897,3.094100287051491,7.662436687049691e-17,-0.3220005701600948,0,0.0
Lakshadweep,MONSOON,116,464,245.04273127753302,122.49369286834187,-1.4941547754316533e-16,-2.414085860880664,80,17.24137931034483
Lakshadweep,POST_MONSOON,116,348,117.02925373134329,85.21032754367333,-4.507174070120038e-17,-1.6710689768263565,35,10.057471264367816
Lakshadweep,PRE_MONSOON,116,348,74.13040935672514,95.04330520530135,-7.174248200063147e-17,-1.376253001040427,14,4.022988505747127
Lakshadweep,WINTER,116,232,21.670742358078606,32.431622669978914,2.3271050297819874e-17,-0.7308690534034006,0,0.0
Madhya Maharashtra,MONSOON,117,468,184.93589743589743,76.2316864225407,-2.464790005524653e-16,-2.469292286105752,81,17.307692307692307
