subdivision,year,month,actual,raw_probability,isotonic_probability,sigmoid_probability,alert_level,severe_anomaly_alert
3,2000,6,0,0.7607981,0.13043478,0.13222179,ELEVATED,1
4,2000,6,1,0.7755648,0.18128653,0.14034474,ELEVATED,1
5,2000,6,0,0.70901656,0.10472973,0.10683325,ELEVATED,1
6,2000,6,0,0.7379834,0.11987382,0.12045794,ELEVATED,1
7,2000,6,0,0.73897797,0.11987382,0.12095135,ELEVATED,1
8,2000,6,0,0.15526581,0.0051413877,0.008907022,LOW,0
9,2000,6,0,0.66985667,0.09626719,0.090581626,MODERATE,1
10,2000,6,1,0.5969935,0.08091603,0.06616506,MODERATE,0
11,2000,6,0,0.55067885,0.049689442,0.05398045,MODERATE,0
12,2000,6,0,0.2584325,0.021466905,0.01434756,LOW,0
13,2000,6,1,0.64239025,0.08091604,0.0805466,MODERATE,0
14,2000,6,0,0.5908349,0.08091603,0.0644084,MODERATE,0
15,2000,6,1,0.68927103,0.09626719,0.09834033,MODERATE,1
16,2000,6,1,0.6748788,0.09626719,0.092534125,MODERATE,1
17,2000,6,0,0.7579299,0.13043478,0.13069105,ELEVATED,1
18,2000,6,1,0.70999783,0.10472973,0.107271716,ELEVATED,1
19,2000,6,0,0.7240769,0.10472973,0.113738954,ELEVATED,1
20,2000,6,0,0.7149703,0.10472973,0.10951802,ELEVATED,1
21,2000,6,0,0.6960379,0.09626719,0.10118089,ELEVATED,1
22,2000,6,0,0.7464767,0.119873814,0.12472798,ELEVATED,1
23,2000,6,0,0.7571624,0.13043478,0.13028398,ELEVATED,1
24,2000,6,0,0.32735538,0.021466905,0.019694027,LOW,0
25,2000,6,0,0.68282056,0.09626719,0.09569892,MODERATE,1
26,2000,6,0,0.07676774,0.0023023789,0.0061882115,LOW,0
27,2000,6,0,0.7817509,0.18128654,0.14386988,ELEVATED,1
28,2000,6,0,0.67311865,0.09626719,0.09184556,MODERATE,1
29,2000,6,0,0.68303317,0.09626719,0.09578496,MODERATE,1
30,2000,6,0,0.659529,0.09090909,0.08668262,MODERATE,0
31,2000,6,0,0.71274567,0.10472973,0.10850799,ELEVATED,1
32,2000,6,1,0.7437188,0.11987381,0.1233274,ELEVATED,1
33,2000,6,1,0.6719642,0.09626719,0.09139644,MODERATE,1
34,2000,6,0,0.17576544,0.021466905,0.009793985,LOW,0
35,2000,6,0,0.6580606,0.083333336,0.086140774,MODERATE,0
0,2000,5,0,0.7492617,0.11987382,0.12615614,ELEVATED,1
1,2000,5,0,0.49032515,0.039252337,0.041258667,LOW,0
2,2000,5,0,0.7223165,0.10472973,0.11291208,ELEVATED,1
3,2000,5,0,0.61322206,0.08091603,0.0710093,MODERATE,0
4,2000,5,1,0.71876645,0.10472973,0.11126058,ELEVATED,1
5,2000,5,0,0.6808561,0.09626719,0.094907194,MODERATE,1
6,2000,5,0,0.5564739,0.06329114,0.055380598,MODERATE,0
7,2000,5,0,0.6611296,0.095920935,0.087276794,MODERATE,0
8,2000,5,0,0.20583102,0.021466903,0.011255206,LOW,0
9,2000,5,0,0.5947053,0.08091603,0.06550725,MODERATE,0
10,2000,5,1,0.53501636,0.049689442,0.0503615,MODERATE,0
11,2000,5,0,0.49311453,0.039252337,0.041777536,LOW,0
12,2000,5,0,0.12983051,0.005141388,0.007916454,LOW,0
13,2000,5,1,0.53158104,0.04968944,0.049599037,LOW,0
14,2000,5,0,0.57945526,0.06329114,0.061276287,MODERATE,0
15,2000,5,1,0.5555915,0.06329114,0.055165216,MODERATE,0
16,2000,5,0,0.7268756,0.119873814,0.11506436,ELEVATED,1
17,2000,5,0,0.68211573,0.09626719,0.095414184,MODERATE,1
18,2000,5,0,0.64446986,0.08091603,0.08126946,MODERATE,0
19,2000,5,0,0.70136434,0.1,0.10346779,ELEVATED,1
20,2000,5,0,0.688043,0.0962672,0.0978325,MODERATE,1
21,2000,5,0,0.6912612,0.09626719,0.09916828,MODERATE,1
22,2000,5,0,0.7002335,0.09626719,0.1029785,ELEVATED,1
23,2000,5,0,0.5934197,0.08091603,0.06514032,MODERATE,0
24,2000,5,0,0.15450382,0.005141388,0.008875633,LOW,0
25,2000,5,0,0.68679065,0.09626719,0.09731703,MODERATE,1
26,2000,5,0,0.0751034,0.0023023789,0.006140551,LOW,0
27,2000,5,0,0.7472868,0.119873814,0.12514198,ELEVATED,1
28,2000,5,0,0.64137465,0.08091603,0.08019572,MODERATE,0
29,2000,5,0,0.6904913,0.0962672,0.09884728,MODERATE,1
30,2000,5,0,0.5067917,0.039252337,0.044413224,LOW,0
31,2000,5,0,0.5521506,0.04968944,0.054332845,MODERATE,0
32,2000,5,1,0.6213279,0.08091603,0.07354978,MODERATE,0
33,2000,5,1,0.60564303,0.08091603,0.06870747,MODERATE,0
34,2000,5,0,0.14780256,0.005141388,0.008604273,LOW,0
35,2000,5,0,0.62003756,0.08091603,0.07313984,MODERATE,0
0,2000,1,0,0.6586184,0.08385002,0.086346254,MODERATE,0
1,2000,1,0,0.4986727,0.039252337,0.04283009,LOW,0
2,2000,1,0,0.67177325,0.096267186,0.09132233,MODERATE,1
3,2000,1,0,0.3948648,0.030303031,0.02680537,LOW,0
