subdivision,year,month,date,rainfall_mm,rainfall_zscore,rainfall_condition,is_dry,dry_episode_length,persistent_drought_signal
Andaman & Nicobar Islands,1912,APR,1912-04-01,21.9,-0.7606549666907676,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1912,MAY,1912-05-01,140.7,-1.4321239563211487,DRY,1,1,0
Andaman & Nicobar Islands,1912,JUN,1912-06-01,549.8,0.5439090410466403,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1912,JUL,1912-07-01,468.9,0.4668827325345143,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1912,AUG,1912-08-01,370.3,-0.2029072539668904,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1912,SEP,1912-09-01,386.2,-0.3557029945897864,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1912,OCT,1912-10-01,318.7,0.2909130651770721,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1912,NOV,1912-11-01,117.2,-0.9925576476634572,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1912,DEC,1912-12-01,2.3,-1.182508732910893,DRY,1,1,0
Andaman & Nicobar Islands,1913,JAN,1913-01-01,84.8,0.4080643540641587,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1913,FEB,1913-02-01,0.5,-0.7130656555618924,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1913,MAR,1913-03-01,1.3,-0.6258704615223231,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1913,APR,1913-04-01,2.5,-1.055692536016824,DRY,1,2,0
Andaman & Nicobar Islands,1913,MAY,1913-05-01,190.7,-1.0977182766126965,DRY,1,2,0
Andaman & Nicobar Islands,1913,JUN,1913-06-01,530.0,0.4088125750080055,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1913,JUL,1913-07-01,280.8,-0.7903429395120813,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1913,AUG,1913-08-01,205.8,-1.381782437954973,DRY,1,1,0
Andaman & Nicobar Islands,1913,SEP,1913-09-01,580.1,0.9172305736986376,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1913,OCT,1913-10-01,288.8,-0.0120484544757016,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1913,NOV,1913-11-01,133.0,-0.8571522166085837,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1913,DEC,1913-12-01,67.5,-0.6856274175447215,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1914,JAN,1914-01-01,0.0,-0.7295521802671066,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1914,FEB,1914-02-01,0.0,-0.7261803680919325,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1914,MAR,1914-03-01,0.0,-0.6527278243832318,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1914,APR,1914-04-01,37.7,-0.5203666370334638,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1914,MAY,1914-05-01,298.8,-0.3747331970830226,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1914,JUN,1914-06-01,383.3,-0.592129423369154,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1914,JUL,1914-07-01,792.8,2.631770532512677,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1914,AUG,1914-08-01,520.5,0.8734882027808906,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1914,SEP,1914-09-01,310.8,-0.8506962439396942,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1914,OCT,1914-10-01,139.8,-1.5217898065915323,SEVERE_DRY,1,1,0
Andaman & Nicobar Islands,1914,NOV,1914-11-01,184.4,-0.416656067480704,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1914,DEC,1914-12-01,289.7,1.0077319118166792,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1915,JAN,1915-01-01,45.0,-0.125864160869619,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1915,FEB,1915-02-01,56.7,0.7610280328146104,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1915,MAR,1915-03-01,33.3,0.0352338550538914,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1915,APR,1915-04-01,40.9,-0.4717006462167947,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1915,MAY,1915-05-01,170.2,-1.234824605293162,DRY,1,1,0
Andaman & Nicobar Islands,1915,JUN,1915-06-01,334.7,-0.92372984000944,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1915,JUL,1915-07-01,269.0,-0.869211960937652,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1915,AUG,1915-08-01,317.2,-0.5834438635095482,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1915,SEP,1915-09-01,429.8,-0.0694734763980623,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1915,OCT,1915-10-01,468.1,1.804707414211335,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1915,NOV,1915-11-01,258.4,0.2175212678395893,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1915,DEC,1915-12-01,318.0,1.223402789498622,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1916,JAN,1916-01-01,0.0,-0.7295521802671066,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1916,FEB,1916-02-01,0.0,-0.7261803680919325,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1916,MAR,1916-03-01,0.0,-0.6527278243832318,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1916,APR,1916-04-01,0.5,-1.0861087802772422,DRY,1,1,0
Andaman & Nicobar Islands,1916,MAY,1916-05-01,487.4,0.886645026777259,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1916,JUN,1916-06-01,450.1,-0.136349426834769,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1916,JUL,1916-07-01,317.3,-0.5463836783228163,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1916,AUG,1916-08-01,425.0,0.1890956187634931,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1916,SEP,1916-09-01,561.2,0.793154016500849,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1916,OCT,1916-10-01,369.7,0.8076701722771217,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1916,NOV,1916-11-01,192.6,-0.3463823627560229,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1916,DEC,1916-12-01,133.7,-0.1811252231085166,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1917,JAN,1917-01-01,8.0,-0.6222298657075532,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1917,FEB,1917-02-01,3.6,-0.631754437875644,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1917,MAR,1917-03-01,112.0,1.6611372836335192,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1917,APR,1917-04-01,4.5,-1.025276291756406,DRY,1,1,0
Andaman & Nicobar Islands,1917,MAY,1917-05-01,295.9,-0.3941287265061131,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1917,JUN,1917-06-01,301.1,-1.1529844490446992,DRY,1,1,0
Andaman & Nicobar Islands,1917,JUL,1917-07-01,394.8,-0.0283879867565686,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1917,AUG,1917-08-01,437.4,0.2779591584683697,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1917,SEP,1917-09-01,471.8,0.20625220626369,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1917,OCT,1917-10-01,238.1,-0.5257658138869274,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1917,NOV,1917-11-01,108.3,-1.0688303271817086,DRY,1,1,0
Andaman & Nicobar Islands,1917,DEC,1917-12-01,236.9,0.6053494969189207,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1918,JAN,1918-01-01,77.4,0.308791213096572,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1918,FEB,1918-02-01,6.9,-0.5451973351773796,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1918,MAR,1918-03-01,11.4,-0.4172094116029553,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1918,APR,1918-04-01,10.7,-0.9309859345491096,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1918,MAY,1918-05-01,729.3,2.504499705206751,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1918,JUN,1918-06-01,710.8,1.6424207093405918,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1918,JUL,1918-07-01,200.9,-1.324379787978445,DRY,1,1,0
Andaman & Nicobar Islands,1918,AUG,1918-08-01,455.4,0.4069546193302875,NORMAL_OR_WET,0,0,0
