subdivision,year,month,rainfall_mm,date,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_stress,historical_mean_mm,historical_std_mm,historical_min_mm,historical_max_mm,observations,coefficient_of_variation,rainfall_zscore,rainfall_condition
West Rajasthan,1962,FEB,0.2,1962-02-01,2.799999999999915,129.8000000000002,383.6,4.862393162393162,-4.662393162393162,-95.88679908595536,4.662393162393162,0,1,4.862393162393162,7.808436269959677,0.0,39.1,117,1.6058833601428764,-0.5970969091891223,BELOW_NORMAL
West Rajasthan,1962,MAR,7.8,1962-03-01,8.799999999999915,13.700000000000184,391.2000000000001,4.011111111111111,3.7888888888888888,94.45983379501384,0.0,0,0,4.011111111111111,7.750392401387102,0.0,59.0,117,1.9322307925895823,0.4888641365062735,NORMAL_OR_WET
West Rajasthan,1962,APR,2.3,1962-04-01,10.299999999999915,14.000000000000185,387.9,3.5418803418803417,-1.241880341880342,-35.06274131274132,1.241880341880342,0,1,3.5418803418803417,5.872939687393819,0.0,36.1,117,1.658141755369394,-0.21145804452002467,BELOW_NORMAL
West Rajasthan,1962,MAY,2.1,1962-05-01,12.199999999999914,15.000000000000185,383.50000000000006,9.53931623931624,-7.439316239316239,-77.98584356240481,7.439316239316239,0,1,9.53931623931624,10.881096842412454,0.0,56.8,117,1.140657943340433,-0.6836917589336393,BELOW_NORMAL
West Rajasthan,1962,JUN,3.3,1962-06-01,7.699999999999914,16.500000000000185,284.0,29.13162393162393,-25.83162393162393,-88.67210421312053,25.83162393162393,0,1,29.13162393162393,23.144890884690945,0.4,143.2,117,0.7944936725468961,-1.1160832021338285,DRY
West Rajasthan,1962,JUL,126.5,1962-07-01,131.89999999999992,142.2000000000002,338.30000000000007,96.1059829059829,30.3940170940171,31.625520258973367,0.0,0,0,96.1059829059829,53.445688337108095,2.4,234.6,117,0.5561119788909722,0.5686897865793621,NORMAL_OR_WET
West Rajasthan,1962,AUG,62.1,1962-08-01,191.89999999999992,204.1000000000002,333.90000000000003,94.94786324786324,-32.84786324786324,-34.5956845412237,32.84786324786324,0,1,94.94786324786324,66.57975719894743,0.6,325.3,117,0.7012243869579212,-0.49336111499641416,BELOW_NORMAL
West Rajasthan,1962,SEP,55.0,1962-09-01,243.5999999999999,251.30000000000015,265.00000000000006,39.92820512820513,15.071794871794872,37.74723863344464,0.0,0,0,39.92820512820513,38.93558749363879,0.2,203.0,117,0.975139938512659,0.38709560692405803,NORMAL_OR_WET
West Rajasthan,1962,OCT,0.0,1962-10-01,117.09999999999992,249.00000000000017,263.00000000000006,5.194871794871794,-5.194871794871794,-100.0,5.194871794871794,0,1,5.194871794871794,11.70838077495572,0.0,78.3,117,2.2538344038661062,-0.4436883199070233,BELOW_NORMAL
West Rajasthan,1962,NOV,0.2,1962-11-01,55.19999999999992,247.1000000000002,262.1,1.6435897435897435,-1.4435897435897438,-87.83151326053043,1.4435897435897438,0,1,1.6435897435897435,4.502573681937167,0.0,34.8,117,2.7394754071068563,-0.32061435204957267,BELOW_NORMAL
West Rajasthan,1962,DEC,2.1,1962-12-01,2.299999999999915,245.9000000000002,262.40000000000003,1.8854700854700852,0.2145299145299146,11.37805983680871,0.0,0,0,1.8854700854700852,3.800210179243378,0.0,21.7,117,2.015523984458184,0.056452118280633574,NORMAL_OR_WET
West Rajasthan,1963,JAN,0.1,1963-01-01,2.399999999999915,119.50000000000018,261.70000000000005,3.3230769230769237,-3.223076923076923,-96.99074074074072,3.223076923076923,0,1,3.3230769230769237,4.529241860426392,0.0,21.4,117,1.362966300591275,-0.7116151052206111,BELOW_NORMAL
West Rajasthan,1963,FEB,0.6,1963-02-01,2.7999999999999146,58.000000000000185,262.1000000000001,4.862393162393162,-4.262393162393162,-87.66039725786607,4.262393162393162,0,1,4.862393162393162,7.808436269959677,0.0,39.1,117,1.6058833601428764,-0.5458702632678557,BELOW_NORMAL
