subdivision,month,historical_mean_mm,historical_std_mm,historical_min_mm,historical_max_mm,observations,coefficient_of_variation
Sub Himalayan West Bengal & Sikkim,AUG,520.3042735042735,166.49296060150886,209.9,1036.6,117,0.31999153011020076
Sub Himalayan West Bengal & Sikkim,DEC,5.967521367521368,9.509349564941148,0.0,56.5,117,1.5935174722115646
Sub Himalayan West Bengal & Sikkim,FEB,22.68632478632479,19.538555632491093,0.1,109.9,117,0.8612481667488444
Sub Himalayan West Bengal & Sikkim,JAN,14.045299145299145,16.960682198617462,0.0,103.0,117,1.2075700220521166
Sub Himalayan West Bengal & Sikkim,JUL,645.7008547008547,164.3648976157279,340.9,1064.6,117,0.2545527025697932
Sub Himalayan West Bengal & Sikkim,JUN,536.9897435897436,133.6008868341252,261.7,896.0,117,0.24879597502367815
Sub Himalayan West Bengal & Sikkim,MAR,43.96666666666667,31.246213563709848,0.0,132.1,117,0.7106796110017403
Sub Himalayan West Bengal & Sikkim,MAY,268.4786324786325,69.37315245015455,142.0,503.1,117,0.25839357050388645
Sub Himalayan West Bengal & Sikkim,NOV,15.846153846153847,22.70276657325216,0.0,132.1,117,1.4326988614188256
Sub Himalayan West Bengal & Sikkim,OCT,143.94358974358977,88.58636384577734,11.7,513.5,117,0.6154241672281371
Sub Himalayan West Bengal & Sikkim,SEP,421.69829059829055,112.82872431936609,174.6,799.9,117,0.26755793617111584
Tamil Nadu,APR,44.42820512820513,28.023105756382925,5.5,132.1,117,0.6307503459911895
Tamil Nadu,AUG,96.08205128205128,37.35174744419969,18.7,206.6,117,0.38874843892073757
Tamil Nadu,DEC,81.14615384615385,65.45274096426176,0.6,295.8,117,0.8066031211824845
Tamil Nadu,FEB,13.209401709401709,19.40044872795109,0.0,131.3,117,1.4686848923780509
Tamil Nadu,JAN,23.752136752136753,32.06005302093675,0.1,141.2,117,1.3497755320077724
Tamil Nadu,JUL,71.19658119658119,30.944418837272416,11.8,174.7,117,0.4346334938728539
Tamil Nadu,JUN,52.11452991452991,19.001915806122724,21.2,128.1,117,0.3646183864132842
Tamil Nadu,MAR,19.47179487179487,22.297231334830318,0.0,164.7,117,1.1451040585440908
Tamil Nadu,MAY,70.22991452991452,31.64527873746638,19.8,204.4,117,0.45059543286197556
Tamil Nadu,NOV,175.3777777777778,90.65937872162797,23.6,416.7,117,0.516937663770053
Tamil Nadu,OCT,181.95641025641027,67.49453922306371,62.1,436.1,117,0.3709379577666509
Tamil Nadu,SEP,111.52136752136752,39.31298554671882,26.1,210.4,117,0.3525152750587141
Telangana,APR,17.93846153846154,15.904937674832874,0.1,105.6,117,0.8866388926793626
Telangana,AUG,214.27094017094018,86.85435694690385,50.0,471.1,117,0.40534827950824104
Telangana,DEC,5.057264957264958,10.309623193215598,0.0,53.1,117,2.0385768355690805
Telangana,FEB,9.524786324786325,15.143536836818773,0.0,79.1,117,1.5899083003479868
Telangana,JAN,7.581196581196581,13.792288772728515,0.0,98.7,117,1.8192759711490827
Telangana,JUL,246.5076923076923,95.714733447568,82.4,656.2,117,0.38828294789314854
Telangana,JUN,143.082905982906,57.690286773721176,28.5,332.0,117,0.40319482175329446
Telangana,MAR,12.571794871794873,18.622987492074778,0.0,108.6,117,1.4813308427308103
Telangana,MAY,25.602564102564102,23.600516729945223,0.2,159.8,117,0.9218028567529932
Telangana,NOV,19.92478632478632,26.182624226313965,0.0,123.0,117,1.314073024398908
Telangana,OCT,74.53931623931624,59.483712574093815,0.1,332.7,117,0.7980179531445548
Telangana,SEP,176.36324786324786,77.0141641677938,52.4,401.2,117,0.4366792123691814
Uttarakhand,APR,35.100854700854704,24.07819336692255,1.1,132.9,117,0.6859717112910145
Uttarakhand,AUG,381.11282051282046,102.70382554945733,73.3,685.2,117,0.2694840478241073
Uttarakhand,DEC,21.845299145299148,24.37392082748626,0.0,135.5,117,1.1157512957533127
Uttarakhand,FEB,62.733333333333334,44.01331499162183,0.0,188.3,117,0.7015937565083182
Uttarakhand,JAN,53.23675213675214,40.809058321463205,0.0,211.4,117,0.7665580014467216
Uttarakhand,JUL,392.3042735042735,98.32139013176021,149.3,617.5,117,0.25062533541503507
Uttarakhand,JUN,162.7641025641026,85.53995382431098,33.6,488.9,117,0.5255455747106286
Uttarakhand,MAR,57.064957264957265,42.100981469924385,0.0,190.3,117,0.7377729431119362
Uttarakhand,MAY,56.16581196581196,36.82897838236185,3.6,270.2,117,0.6557187921502781
Uttarakhand,NOV,8.04957264957265,12.648324299068944,0.0,75.7,117,1.5713038256435194
Uttarakhand,OCT,38.53846153846154,57.37494924669657,0.0,370.4,117,1.4887711381378352
Uttarakhand,SEP,195.52051282051283,105.31362401504863,28.2,651.5,117,0.5386320979616404
Vidarbha,APR,9.317948717948719,13.09845749924076,0.0,112.7,117,1.405723286930076
Vidarbha,AUG,284.13931623931626,86.38467492326055,111.7,565.5,117,0.3040222524168499
Vidarbha,DEC,7.792307692307693,17.84011922918134,0.0,121.8,117,2.289452615788326
Vidarbha,FEB,11.822222222222223,17.18605645278949,0.0,84.9,117,1.4537077826607652
Vidarbha,JAN,10.390598290598291,15.032762971922264,0.0,74.9,117,1.4467658696346999
Vidarbha,JUL,330.142735042735,93.29673028627653,88.1,591.0,117,0.2825951335085409
Vidarbha,JUN,173.2888888888889,76.88653617145492,21.4,377.5,117,0.4436899368704118
Vidarbha,MAR,11.893162393162394,15.433677498248848,0.0,66.3,117,1.2976933289939743
Vidarbha,MAY,11.522222222222222,14.483481144173862,0.0,83.1,117,1.2570041494461404
Vidarbha,NOV,15.311111111111112,24.576449260166687,0.0,126.5,117,1.6051381955116122
Vidarbha,OCT,52.389743589743595,46.93675565940022,0.2,225.1,117,0.8959149719638843
Vidarbha,SEP,175.53675213675214,80.4168274531911,23.0,469.9,117,0.45811960443783456
West Madhya Pradesh,APR,2.3367521367521364,3.4657088216279868,0.0,24.8,117,1.48313069542968
West Madhya Pradesh,AUG,288.04273504273505,98.51778529809356,128.3,545.1,117,0.34202489183932067
West Madhya Pradesh,DEC,6.205982905982906,13.410792685295716,0.0,93.9,117,2.1609457983467824
West Madhya Pradesh,FEB,6.217241379310345,8.942368870690263,0.0,40.5,116,1.4383177884083063
West Madhya Pradesh,JAN,9.167521367521367,11.174816430335428,0.0,54.1,117,1.2189572276237601
West Madhya Pradesh,JUL,304.0059829059829,96.14503886513863,46.9,561.6,117,0.3162603510170802
West Madhya Pradesh,JUN,111.84615384615384,60.298635454426176,12.1,306.3,117,0.5391212248332464
West Madhya Pradesh,MAR,5.1179487179487175,8.87905920172246,0.0,53.5,117,1.7348863169698197
West Madhya Pradesh,MAY,7.670940170940171,10.314143786058688,0.0,62.7,117,1.344573618906815
West Madhya Pradesh,NOV,12.133333333333333,23.369933528006623,0.0,117.9,117,1.9260934226379085
West Madhya Pradesh,OCT,28.069230769230767,33.76083851900943,0.0,157.8,117,1.2027703500880313
West Madhya Pradesh,SEP,160.56923076923076,95.81334535721582,17.3,559.4,117,0.5967104961405604
West Rajasthan,APR,3.5418803418803417,5.872939687393819,0.0,36.1,117,1.658141755369394
West Rajasthan,AUG,94.94786324786324,66.57975719894743,0.6,325.3,117,0.7012243869579212
West Rajasthan,DEC,1.8854700854700854,3.8002101792433782,0.0,21.7,117,2.0155239844581834
West Rajasthan,FEB,4.862393162393162,7.808436269959677,0.0,39.1,117,1.6058833601428764
West Rajasthan,JAN,3.3230769230769233,4.529241860426392,0.0,21.4,117,1.3629663005912753
West Rajasthan,JUL,96.1059829059829,53.445688337108095,2.4,234.6,117,0.5561119788909722
West Rajasthan,JUN,29.13162393162393,23.144890884690945,0.4,143.2,117,0.7944936725468961
West Rajasthan,MAR,4.011111111111111,7.750392401387102,0.0,59.0,117,1.9322307925895823
West Rajasthan,MAY,9.53931623931624,10.881096842412454,0.0,56.8,117,1.140657943340433
West Rajasthan,NOV,1.6435897435897437,4.502573681937167,0.0,34.8,117,2.7394754071068563
West Rajasthan,OCT,5.194871794871794,11.70838077495572,0.0,78.3,117,2.2538344038661062
West Rajasthan,SEP,39.92820512820513,38.935587493638785,0.2,203.0,117,0.975139938512659
West Uttar Pradesh,APR,6.162393162393163,9.95298193486831,0.0,69.0,117,1.6151163472671182
West Uttar Pradesh,AUG,249.67606837606837,95.989269918994,34.6,509.6,117,0.38445522850196656
West Uttar Pradesh,DEC,7.006837606837607,9.75236245910425,0.0,61.6,117,1.391835091138323
West Uttar Pradesh,FEB,17.614529914529914,19.913932330273216,0.0,89.9,117,1.1305400954155789
West Uttar Pradesh,JAN,17.57008547008547,15.726231462976585,0.0,68.6,117,0.8950571976301311
West Uttar Pradesh,JUL,246.86581196581196,84.49289315389822,29.6,440.6,117,0.34226243188991884
West Uttar Pradesh,JUN,77.5111111111111,55.228215829906986,3.7,291.2,117,0.7125199863376762
West Uttar Pradesh,MAR,11.427350427350428,14.165710322949861,0.0,66.8,117,1.2396320925842437
West Uttar Pradesh,MAY,12.452991452991453,11.524356311215708,0.0,52.0,117,0.9254287497681797
West Uttar Pradesh,NOV,3.898290598290598,7.160860848196845,0.0,42.0,117,1.8369233046240536
West Uttar Pradesh,OCT,28.37264957264957,44.48075256730408,0.0,206.5,117,1.5677334770377689
West Uttar Pradesh,SEP,145.33931623931625,88.10771322967656,0.5,356.6,117,0.60622077707176
