subdivision,year,month,season,probability,risk_rank
Vidarbha,1932,7,MONSOON,0.46283119916915894,6327
Kerala,1969,4,PRE_MONSOON,0.46277257800102234,6328
Sub Himalayan West Bengal & Sikkim,1910,2,WINTER,0.4627396762371063,6329
Kerala,1981,8,MONSOON,0.4626905918121338,6330
Rayalseema,1963,5,PRE_MONSOON,0.46261751651763916,6331
Uttarakhand,1996,4,PRE_MONSOON,0.46261000633239746,6332
Coastal Andhra Pradesh,1904,8,MONSOON,0.462447851896286,6333
Haryana Delhi & Chandigarh,1937,6,MONSOON,0.4624338746070862,6334
Kerala,1927,6,MONSOON,0.462411493062973,6335
East Rajasthan,1920,5,PRE_MONSOON,0.4624062478542328,6336
South Interior Karnataka,2006,5,PRE_MONSOON,0.46237537264823914,6337
Naga Mani Mizo Tripura,1993,3,PRE_MONSOON,0.4623626172542572,6338
South Interior Karnataka,1972,4,PRE_MONSOON,0.4623258709907532,6339
Jammu & Kashmir,1935,5,PRE_MONSOON,0.4623256325721741,6340
Andaman & Nicobar Islands,1933,7,MONSOON,0.4623074233531952,6341
North Interior Karnataka,1914,5,PRE_MONSOON,0.46230676770210266,6342
South Interior Karnataka,1958,3,PRE_MONSOON,0.4623013138771057,6343
North Interior Karnataka,1957,7,MONSOON,0.4622715413570404,6344
Madhya Maharashtra,2001,5,PRE_MONSOON,0.4621802866458893,6345
Jammu & Kashmir,1961,3,PRE_MONSOON,0.4621356129646301,6346
Tamil Nadu,1924,6,MONSOON,0.46211233735084534,6347
West Uttar Pradesh,1926,5,PRE_MONSOON,0.4620888829231262,6348
Kerala,2002,8,MONSOON,0.4620719254016876,6349
South Interior Karnataka,1978,5,PRE_MONSOON,0.46204596757888794,6350
South Interior Karnataka,1910,6,MONSOON,0.4620148241519928,6351
East Uttar Pradesh,1917,4,PRE_MONSOON,0.4619629681110382,6352
North Interior Karnataka,1984,6,MONSOON,0.4618680477142334,6353
North Interior Karnataka,1972,7,MONSOON,0.4618249237537384,6354
North Interior Karnataka,1909,7,MONSOON,0.46174731850624084,6355
Naga Mani Mizo Tripura,1991,7,MONSOON,0.4617065489292145,6356
Uttarakhand,1982,6,MONSOON,0.4616353213787079,6357
Sub Himalayan West Bengal & Sikkim,1971,3,PRE_MONSOON,0.46162301301956177,6358
Coastal Andhra Pradesh,1974,7,MONSOON,0.46161529421806335,6359
West Madhya Pradesh,1972,4,PRE_MONSOON,0.4615648686885834,6360
Konkan & Goa,1934,4,PRE_MONSOON,0.4615373909473419,6361
Kerala,1912,6,MONSOON,0.46152955293655396,6362
Coastal Andhra Pradesh,1971,6,MONSOON,0.4615284502506256,6363
Madhya Maharashtra,1909,6,MONSOON,0.4614468514919281,6364
Kerala,1973,5,PRE_MONSOON,0.4613373577594757,6365
South Interior Karnataka,1905,2,WINTER,0.46128419041633606,6366
Bihar,1967,5,PRE_MONSOON,0.4612380266189575,6367
Chhattisgarh,2001,8,MONSOON,0.46123427152633667,6368
Kerala,1938,7,MONSOON,0.46121177077293396,6369
Sub Himalayan West Bengal & Sikkim,1977,2,WINTER,0.4611656665802002,6370
Matathwada,1929,7,MONSOON,0.4611375331878662,6371
Gangetic West Bengal,1991,6,MONSOON,0.4611240327358246,6372
South Interior Karnataka,1993,7,MONSOON,0.46110695600509644,6373
Lakshadweep,1952,7,MONSOON,0.46106889843940735,6374
Gangetic West Bengal,1913,4,PRE_MONSOON,0.460932195186615,6375
Sub Himalayan West Bengal & Sikkim,1953,6,MONSOON,0.46092432737350464,6376
Vidarbha,1944,6,MONSOON,0.4608733355998993,6377
Himachal Pradesh,1944,7,MONSOON,0.4607420563697815,6378
Kerala,1907,9,MONSOON,0.4607279300689697,6379
Assam & Meghalaya,1963,4,PRE_MONSOON,0.460711270570755,6380
Assam & Meghalaya,1960,9,MONSOON,0.4606829881668091,6381
Sub Himalayan West Bengal & Sikkim,1964,1,WINTER,0.4606536626815796,6382
Coastal Karnataka,1949,8,MONSOON,0.4606255292892456,6383
Andaman & Nicobar Islands,1996,8,MONSOON,0.4605640172958374,6384
Chhattisgarh,1973,5,PRE_MONSOON,0.46054551005363464,6385
Himachal Pradesh,1959,5,PRE_MONSOON,0.4604651629924774,6386
Kerala,1960,9,MONSOON,0.4604097306728363,6387
Matathwada,1916,6,MONSOON,0.46038898825645447,6388
Coastal Karnataka,2004,5,PRE_MONSOON,0.4603336751461029,6389
Coastal Karnataka,1957,6,MONSOON,0.4603238105773926,6390
Madhya Maharashtra,1946,6,MONSOON,0.46013766527175903,6391
Chhattisgarh,1917,5,PRE_MONSOON,0.46005409955978394,6392
North Interior Karnataka,1995,7,MONSOON,0.45997992157936096,6393
Andaman & Nicobar Islands,1999,8,MONSOON,0.45997413992881775,6394
Gangetic West Bengal,1980,7,MONSOON,0.4599438011646271,6395
South Interior Karnataka,1960,9,MONSOON,0.4599110186100006,6396
Assam & Meghalaya,1918,3,PRE_MONSOON,0.45985591411590576,6397
Chhattisgarh,1932,5,PRE_MONSOON,0.4598209261894226,6398
Vidarbha,1933,6,MONSOON,0.4598091244697571,6399
Sub Himalayan West Bengal & Sikkim,1924,6,MONSOON,0.4598071575164795,6400
Assam & Meghalaya,1942,5,PRE_MONSOON,0.4597906470298767,6401
East Uttar Pradesh,1919,6,MONSOON,0.459663063287735,6402
Assam & Meghalaya,1931,9,MONSOON,0.4596346914768219,6403
Konkan & Goa,1935,4,PRE_MONSOON,0.4596172571182251,6404
Uttarakhand,1919,5,PRE_MONSOON,0.4596135914325714,6405
East Madhya Pradesh,1974,4,PRE_MONSOON,0.4594450294971466,6406
Bihar,1921,5,PRE_MONSOON,0.4594443142414093,6407
North Interior Karnataka,1974,6,MONSOON,0.45935484766960144,6408
Sub Himalayan West Bengal & Sikkim,1905,1,WINTER,0.4593372642993927,6409
Uttarakhand,1970,5,PRE_MONSOON,0.4593048095703125,6410
Lakshadweep,2005,5,PRE_MONSOON,0.4592008590698242,6411
Coastal Karnataka,1905,4,PRE_MONSOON,0.4591664969921112,6412
Coastal Andhra Pradesh,1924,6,MONSOON,0.4591522216796875,6413
Konkan & Goa,2004,5,PRE_MONSOON,0.4591085910797119,6414
Sub Himalayan West Bengal & Sikkim,1933,3,PRE_MONSOON,0.45909687876701355,6415
Kerala,1972,4,PRE_MONSOON,0.4589100778102875,6416
Punjab,1981,5,PRE_MONSOON,0.4589068591594696,6417
South Interior Karnataka,1971,8,MONSOON,0.45890384912490845,6418
Sub Himalayan West Bengal & Sikkim,1977,5,PRE_MONSOON,0.4589023292064667,6419
South Interior Karnataka,1947,4,PRE_MONSOON,0.45880717039108276,6420
South Interior Karnataka,1978,6,MONSOON,0.4587938189506531,6421
Orissa,1922,6,MONSOON,0.4587845206260681,6422
Punjab,1917,5,PRE_MONSOON,0.45871949195861816,6423
Andaman & Nicobar Islands,1966,9,MONSOON,0.4586944580078125,6424
Himachal Pradesh,1986,5,PRE_MONSOON,0.45866286754608154,6425
South Interior Karnataka,1955,7,MONSOON,0.45863649249076843,6426
Assam & Meghalaya,1929,9,MONSOON,0.4585628807544708,6427
Sub Himalayan West Bengal & Sikkim,1910,8,MONSOON,0.4585339426994324,6428
Tamil Nadu,1999,8,MONSOON,0.4584798514842987,6429
Naga Mani Mizo Tripura,1989,5,PRE_MONSOON,0.4584354758262634,6430
Rayalseema,2005,7,MONSOON,0.4583159387111664,6431
Rayalseema,1943,7,MONSOON,0.45811861753463745,6432
Tamil Nadu,1971,6,MONSOON,0.458103209733963,6433
South Interior Karnataka,1910,7,MONSOON,0.45805537700653076,6434
Himachal Pradesh,1984,6,MONSOON,0.4580387473106384,6435
East Rajasthan,1989,6,MONSOON,0.45802050828933716,6436
Andaman & Nicobar Islands,1972,3,PRE_MONSOON,0.4579614996910095,6437
Madhya Maharashtra,1985,6,MONSOON,0.4579363465309143,6438
Tamil Nadu,1990,8,MONSOON,0.4578755497932434,6439
Orissa,1962,5,PRE_MONSOON,0.45782771706581116,6440
Uttarakhand,1933,5,PRE_MONSOON,0.4577830135822296,6441
North Interior Karnataka,1947,5,PRE_MONSOON,0.45777401328086853,6442
Madhya Maharashtra,1924,7,MONSOON,0.4577443301677704,6443
Uttarakhand,1922,5,PRE_MONSOON,0.4577307403087616,6444
Tamil Nadu,1993,7,MONSOON,0.45769044756889343,6445
Konkan & Goa,1949,4,PRE_MONSOON,0.45766711235046387,6446
Rayalseema,2003,7,MONSOON,0.45756158232688904,6447
Konkan & Goa,1948,5,PRE_MONSOON,0.45755067467689514,6448
Telangana,2003,6,MONSOON,0.45751190185546875,6449
Uttarakhand,1999,5,PRE_MONSOON,0.45749667286872864,6450
Andaman & Nicobar Islands,1994,3,PRE_MONSOON,0.4573526084423065,6451
Madhya Maharashtra,2003,6,MONSOON,0.45718201994895935,6452
Jammu & Kashmir,1961,11,POST_MONSOON,0.4571155607700348,6453
Sub Himalayan West Bengal & Sikkim,1977,4,PRE_MONSOON,0.4570557773113251,6454
Kerala,1963,8,MONSOON,0.4570311903953552,6455
Assam & Meghalaya,1936,3,PRE_MONSOON,0.4569513201713562,6456
Kerala,1929,9,MONSOON,0.45688700675964355,6457
East Uttar Pradesh,2003,4,PRE_MONSOON,0.45683175325393677,6458
Jammu & Kashmir,1943,6,MONSOON,0.4567880928516388,6459
Matathwada,1917,4,PRE_MONSOON,0.45677682757377625,6460
Gangetic West Bengal,2003,5,PRE_MONSOON,0.4567495286464691,6461
East Madhya Pradesh,1985,6,MONSOON,0.45674899220466614,6462
East Uttar Pradesh,1932,7,MONSOON,0.4567473530769348,6463
