subdivision,year,month,season,rainfall_mm,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_zscore,target_3m_stress,date,rainfall_lag_1m,rainfall_lag_2m,rainfall_lag_3m,rainfall_prev_3m,rainfall_prev_6m,rainfall_prev_12m,rainfall_trend_3m,month_sin,month_cos,target_3m_severe_anomaly,original_month,actual,predicted_probability,predicted,error_type
Arunachal Pradesh,2006,3.0,1,63.3,173.00000000000068,344.1999999999991,2063.0,153.9721649484536,-90.6721649484536,-58.88867314349226,90.6721649484536,0,-1.059235279050598,0,2006-03-01,103.7,6.0,3.3,113.00000000000068,524.4999999999991,2229.2000000000003,100.4,1.0,6.123233995736766e-17,0,MAR,0,0.7125427,1,FALSE_POSITIVE
Arunachal Pradesh,2006,1.0,0,6.0,37.90000000000068,820.7999999999992,2293.1,46.71632653061224,-40.71632653061224,-87.15652439823512,40.71632653061224,0,-1.191356176602279,0,2006-01-01,3.3,28.6,139.3,171.2000000000007,1245.599999999999,2335.5,-136.0,0.4999999999999999,0.8660254037844387,0,JAN,0,0.7124198,1,FALSE_POSITIVE
Konkan & Goa,2016,6.0,2,806.5,808.9000000000004,811.0000000000011,2074.399999999999,690.8752136752137,115.62478632478631,16.73598705469589,0.0,0,0.5889321788471767,0,2016-06-01,2.1,0.3,2.0,4.400000000000455,4.500000000001137,2031.8999999999992,0.1,1.2246467991473532e-16,-1.0,0,JUN,0,0.71141386,1,FALSE_POSITIVE
Coastal Karnataka,2007,6.0,2,952.0,1053.2999999999993,1053.9000000000003,3723.8,842.2820512820513,109.71794871794872,13.026271728210906,0.0,0,0.570929376160491,0,2007-06-01,61.1,40.2,0.6,101.89999999999932,101.90000000000046,3571.9,60.5,1.2246467991473532e-16,-1.0,0,JUN,0,0.7114114,1,FALSE_POSITIVE
South Interior Karnataka,2006,6.0,2,183.7,335.5,371.19999999999993,1386.8,141.39145299145298,42.30854700854701,29.922987644171485,0.0,0,0.9225866091947118,0,2006-06-01,127.1,24.7,35.4,187.20000000000005,192.79999999999995,1341.8,91.7,1.2246467991473532e-16,-1.0,0,JUN,0,0.7102571,1,FALSE_POSITIVE
Andaman & Nicobar Islands,2007,3.0,1,5.0,11.49999999999966,536.6999999999991,2336.6,31.59454545454545,-26.59454545454545,-84.17448351268919,26.59454545454545,0,-0.5494302749181983,0,2007-03-01,1.6,4.9,74.4,80.89999999999966,1078.199999999999,2380.5,-72.80000000000001,1.0,6.123233995736766e-17,0,MAR,0,0.70835465,1,FALSE_POSITIVE
Naga Mani Mizo Tripura,2011,5.0,1,334.9,467.40000000000015,517.1,2228.6,289.9905982905983,44.90940170940166,15.486502657026882,0.0,0,0.4008365703277875,0,2011-05-01,81.1,51.4,3.6,136.10000000000016,191.4,2187.7000000000003,77.5,0.4999999999999999,-0.8660254037844387,0,MAY,0,0.7078878,1,FALSE_POSITIVE
Uttarakhand,2006,5.0,1,120.5,244.39999999999992,306.9999999999992,1384.5,56.16581196581196,64.33418803418803,114.54332410140915,0.0,0,1.7468360747415947,0,2006-05-01,52.2,71.7,9.6,133.4999999999999,188.6999999999992,1316.1,42.6,0.4999999999999999,-0.8660254037844387,0,MAY,0,0.7077828,1,FALSE_POSITIVE
Assam & Meghalaya,2017,3.0,1,116.7,156.19999999999987,338.2999999999995,2324.0000000000005,79.22136752136751,37.47863247863249,47.30874213768626,0.0,0,0.7742934191508614,0,2017-03-01,37.8,1.7,7.4,46.899999999999885,492.7999999999995,2271.4,30.4,1.0,6.123233995736766e-17,0,MAR,0,0.7029127,1,FALSE_POSITIVE
Lakshadweep,2008,3.0,1,120.7,146.00000000000034,559.3,2500.7,15.006140350877194,105.6938596491228,704.3374057403402,0.0,0,4.66859852669238,0,2008-03-01,19.8,5.5,109.6,134.90000000000035,896.0999999999998,2380.2,-89.8,1.0,6.123233995736766e-17,0,MAR,0,0.7027958,1,FALSE_POSITIVE
Sub Himalayan West Bengal & Sikkim,2007,3.0,1,46.6,130.8000000000013,277.4000000000008,2335.4,43.96666666666667,2.633333333333333,5.989385898407884,0.0,0,0.0842768781556224,0,2007-03-01,81.1,3.1,7.9,92.1000000000013,687.6000000000008,2328.6,73.19999999999999,1.0,6.123233995736766e-17,0,MAR,0,0.69851816,1,FALSE_POSITIVE
Coastal Karnataka,2011,6.0,2,1018.4,1133.7999999999995,1151.1000000000004,3994.4,842.2820512820513,176.1179487179487,20.90961673110293,0.0,0,0.9164490565776928,0,2011-06-01,49.3,66.1,8.7,124.09999999999954,143.70000000000044,3658.7,40.6,1.2246467991473532e-16,-1.0,0,JUN,0,0.6982632,1,FALSE_POSITIVE
Naga Mani Mizo Tripura,2003,8.0,2,281.7,1135.0000000000002,1637.5,2055.3,411.6213675213675,-129.92136752136753,-31.56331953895062,129.92136752136753,0,-1.0271663361675645,0,2003-08-01,262.4,590.9,265.6,1118.9,1367.3000000000002,2132.0,-3.200000000000045,-0.8660254037844385,-0.5000000000000004,0,AUG,0,0.69787365,1,FALSE_POSITIVE
Uttarakhand,2017,6.0,2,175.6,336.5999999999999,431.1999999999991,1375.6999999999998,162.7641025641026,12.835897435897408,7.886196792589541,0.0,0,0.1500573341699579,0,2017-06-01,108.2,52.8,44.5,205.4999999999999,259.0999999999991,1374.5,63.7,1.2246467991473532e-16,-1.0,0,JUN,0,0.69716656,1,FALSE_POSITIVE
Coastal Karnataka,2016,6.0,2,963.1,1061.1999999999996,1061.9000000000003,3175.3,842.2820512820513,120.81794871794877,14.34412006453774,0.0,0,0.628689443218186,0,2016-06-01,94.3,3.8,0.2,98.29999999999954,113.10000000000034,2947.5,94.1,1.2246467991473532e-16,-1.0,0,JUN,0,0.6969473,1,FALSE_POSITIVE
Konkan & Goa,2011,6.0,2,857.0,861.5000000000002,861.5000000000011,3946.399999999999,690.8752136752137,166.12478632478633,24.045555989924832,0.0,0,0.846152762574274,0,2011-06-01,1.1,3.4,0.0,4.500000000000227,5.900000000001137,3770.199999999999,1.1,1.2246467991473532e-16,-1.0,0,JUN,0,0.69659615,1,FALSE_POSITIVE
Coastal Karnataka,2015,5.0,1,150.3,254.7999999999996,288.0000000000002,3717.1,122.5974358974359,27.70256410256411,22.596365005333283,0.0,0,0.2228023417598247,0,2015-05-01,72.2,32.3,1.0,105.49999999999956,177.70000000000022,3748.7,71.2,0.4999999999999999,-0.8660254037844387,0,MAY,0,0.6965673,1,FALSE_POSITIVE
Sub Himalayan West Bengal & Sikkim,2017,3.0,1,84.6,92.70000000000124,248.6000000000009,2590.8,43.96666666666667,40.633333333333326,92.4184988627748,0.0,0,1.3004242338190353,0,2017-03-01,5.1,3.0,0.3,8.40000000000125,658.300000000001,2605.1,4.8,1.0,6.123233995736766e-17,0,MAR,0,0.6956545,1,FALSE_POSITIVE
