subdivision,year,month,season,rainfall_mm,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_zscore,target_3m_stress,date,rainfall_lag_1m,rainfall_lag_2m,rainfall_lag_3m,rainfall_prev_3m,rainfall_prev_6m,rainfall_prev_12m,rainfall_trend_3m,month_sin,month_cos,target_3m_severe_anomaly,original_month,actual,predicted_probability,predicted,error_type
East Madhya Pradesh,2002,11.0,3,5.6,240.79999999999947,910.8000000000006,948.8000000000004,12.494017094017094,-6.894017094017094,-55.17854699685319,6.894017094017094,0,-0.2970788709953578,0,2002-11-01,43.1,192.1,491.8,726.9999999999994,910.4000000000008,944.2000000000002,-448.7,-0.5000000000000004,0.8660254037844384,0,NOV,0,0.014319547,0,TRUE_NEGATIVE
Punjab,2001,11.0,3,0.9,22.299999999999912,359.5,439.4,4.117948717948718,-3.2179487179487185,-78.14445828144459,3.2179487179487185,0,-0.3947506268527065,0,2001-11-01,1.5,19.9,69.5,90.89999999999992,395.5,439.2000000000001,-68.0,-0.5000000000000004,0.8660254037844384,0,NOV,0,0.01431547,0,TRUE_NEGATIVE
West Rajasthan,2015,11.0,3,0.1,36.89999999999998,385.2000000000003,458.50000000000006,1.6435897435897435,-1.5435897435897437,-93.9157566302652,1.5435897435897437,0,-0.3428238719961682,0,2015-11-01,1.1,35.7,60.5,97.29999999999995,400.6000000000002,458.6000000000001,-59.4,-0.5000000000000004,0.8660254037844384,0,NOV,0,0.0143059455,0,TRUE_NEGATIVE
Gangetic West Bengal,2002,12.0,3,0.1,122.50000000000024,1019.8000000000002,1613.4,5.712820512820513,-5.612820512820513,-98.2495511669659,5.612820512820513,0,-0.4628907987883292,0,2002-12-01,50.9,71.5,326.4,448.8000000000002,1367.4,1613.3000000000002,-275.5,-2.4492935982947064e-16,1.0,0,DEC,0,0.01430134,0,TRUE_NEGATIVE
Coastal Andhra Pradesh,2008,12.0,3,1.2,124.2,775.7000000000003,1107.5,11.550427350427348,-10.35042735042735,-89.61077401213556,10.35042735042735,0,-0.4362836010339133,0,2008-12-01,71.4,51.6,166.8,289.8,894.3000000000004,1106.8000000000002,-95.4,-2.4492935982947064e-16,1.0,0,DEC,0,0.014278357,0,TRUE_NEGATIVE
Haryana Delhi & Chandigarh,2012,10.0,3,2.4,289.70000000000005,366.9,387.5999999999998,12.64871794871795,-10.24871794871795,-81.02574498276911,10.24871794871795,0,-0.4307734374712347,0,2012-10-01,90.7,196.6,68.1,355.40000000000003,376.3,385.19999999999976,22.60000000000001,-0.8660254037844386,0.5000000000000001,0,OCT,0,0.014276336,0,TRUE_NEGATIVE
West Uttar Pradesh,2015,12.0,3,3.0,11.899999999999917,376.0999999999998,582.7999999999998,7.006837606837607,-4.006837606837607,-57.18467919004635,4.006837606837607,0,-0.4108581508983038,0,2015-12-01,2.0,6.9,26.5,35.39999999999991,445.0999999999997,596.0999999999999,-24.5,-2.4492935982947064e-16,1.0,0,DEC,0,0.014234182,0,TRUE_NEGATIVE
West Rajasthan,2016,12.0,3,0.0,18.099999999999973,301.0000000000003,347.0000000000001,1.8854700854700848,-1.8854700854700848,-100.0,1.8854700854700848,0,-0.4961488961238145,0,2016-12-01,0.0,18.1,11.0,29.099999999999973,334.2000000000003,347.0000000000001,-11.0,-2.4492935982947064e-16,1.0,0,DEC,0,0.0142225,0,TRUE_NEGATIVE
West Madhya Pradesh,2015,12.0,3,1.0,12.299999999999716,772.7000000000003,1042.2000000000005,6.205982905982906,-5.205982905982906,-83.88651700867649,5.205982905982906,0,-0.3881935265236792,0,2015-12-01,0.3,11.0,55.6,66.89999999999972,925.8000000000002,1057.0000000000002,-55.3,-2.4492935982947064e-16,1.0,0,DEC,0,0.014155674,0,TRUE_NEGATIVE
Bihar,2007,12.0,3,7.5,56.20000000000046,1255.1999999999996,1600.1,3.631623931623932,3.868376068376069,106.51918098376088,0.0,0,0.5326777455858994,0,2007-12-01,9.1,39.6,309.0,357.70000000000044,1418.0999999999997,1594.1999999999998,-299.9,-2.4492935982947064e-16,1.0,0,DEC,0,0.014154463,0,TRUE_NEGATIVE
Chhattisgarh,2015,11.0,3,0.6,235.20000000000047,1028.0,1117.3,11.572649572649572,-10.972649572649573,-94.81536189069423,10.972649572649573,0,-0.5607475652112895,0,2015-11-01,17.7,216.9,286.6,521.2000000000005,1040.4,1119.2999999999995,-268.90000000000003,-0.5000000000000004,0.8660254037844384,0,NOV,0,0.014136117,0,TRUE_NEGATIVE
East Uttar Pradesh,2015,12.0,3,4.9,17.20000000000023,393.9,603.3000000000002,5.677777777777777,-0.7777777777777768,-13.698630136986289,0.7777777777777768,0,-0.092119074850172,0,2015-12-01,0.5,11.8,21.9,34.20000000000023,484.3,606.8000000000002,-21.4,-2.4492935982947064e-16,1.0,0,DEC,0,0.0140419835,0,TRUE_NEGATIVE
East Rajasthan,2006,12.0,3,0.5,3.0,649.3,748.5000000000002,3.617948717948718,-3.117948717948718,-86.18001417434444,3.117948717948718,0,-0.4653220393240236,0,2006-12-01,0.1,2.4,88.9,91.4,722.6,748.0000000000002,-88.80000000000001,-2.4492935982947064e-16,1.0,0,DEC,0,0.014023769,0,TRUE_NEGATIVE
Punjab,2004,11.0,3,0.8,40.89999999999993,266.0,351.8,4.117948717948718,-3.3179487179487186,-80.57285180572853,3.3179487179487186,0,-0.407017777806695,0,2004-11-01,31.2,8.9,124.2,164.29999999999993,292.40000000000003,353.20000000000005,-93.0,-0.5000000000000004,0.8660254037844384,0,NOV,0,0.014018652,0,TRUE_NEGATIVE
North Interior Karnataka,2003,12.0,3,2.2,98.49999999999984,361.1999999999998,473.5,6.235897435897436,-4.035897435897436,-64.7203947368421,4.035897435897436,0,-0.3121116745308969,0,2003-12-01,4.2,92.1,64.3,160.59999999999982,425.8999999999998,471.3,-60.1,-2.4492935982947064e-16,1.0,0,DEC,0,0.013985775,0,TRUE_NEGATIVE
West Madhya Pradesh,2011,11.0,3,0.0,165.1999999999997,1056.7000000000005,1064.7000000000005,12.133333333333333,-12.133333333333333,-100.0,12.133333333333333,0,-0.5191856159450645,0,2011-11-01,0.2,165.0,343.3,508.4999999999997,1060.3000000000004,1069.3000000000004,-343.1,-0.5000000000000004,0.8660254037844384,0,NOV,0,0.013978228,0,TRUE_NEGATIVE
Haryana Delhi & Chandigarh,2012,11.0,3,0.6,93.70000000000005,363.7,388.1999999999998,3.223931623931624,-2.623931623931624,-81.38918345705196,2.623931623931624,0,-0.3580571651908611,0,2012-11-01,2.4,90.7,196.6,289.70000000000005,366.9,387.5999999999998,-194.2,-0.5000000000000004,0.8660254037844384,0,NOV,0,0.013968426,0,TRUE_NEGATIVE
West Uttar Pradesh,2012,11.0,3,0.1,68.39999999999988,366.5999999999997,389.0999999999998,3.898290598290598,-3.798290598290598,-97.4347730760798,3.798290598290598,0,-0.530423740777903,0,2012-11-01,0.5,67.8,149.1,217.39999999999984,366.7999999999997,389.49999999999983,-148.6,-0.5000000000000004,0.8660254037844384,0,NOV,0,0.013963646,0,TRUE_NEGATIVE
Vidarbha,2007,12.0,3,0.0,29.799999999999542,903.1000000000004,1167.0000000000002,7.792307692307693,-7.792307692307693,-100.0,7.792307692307693,0,-0.4367856286275096,0,2007-12-01,2.5,27.3,241.8,271.5999999999996,1159.8000000000002,1167.0000000000002,-239.3,-2.4492935982947064e-16,1.0,0,DEC,0,0.013959089,0,TRUE_NEGATIVE
West Madhya Pradesh,2014,11.0,3,3.0,202.5999999999997,781.6000000000003,851.4000000000002,12.133333333333333,-9.133333333333333,-75.27472527472527,9.133333333333333,0,-0.3908155460685376,0,2014-11-01,7.0,192.6,211.0,410.5999999999997,780.0000000000002,848.7000000000003,-204.0,-0.5000000000000004,0.8660254037844384,0,NOV,0,0.013948265,0,TRUE_NEGATIVE
