subdivision,year,month,season,rainfall_mm,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_zscore,target_3m_stress,date,rainfall_lag_1m,rainfall_lag_2m,rainfall_lag_3m,rainfall_prev_3m,rainfall_prev_6m,rainfall_prev_12m,rainfall_trend_3m,month_sin,month_cos,target_3m_severe_anomaly,original_month,actual,predicted_probability,predicted,error_type
East Uttar Pradesh,2015,6.0,2,95.3,127.10000000000022,209.4,761.8000000000002,109.9128205128205,-14.612820512820504,-13.29491905006298,14.612820512820504,0,-0.2275601473482252,1,2015-06-01,8.6,23.2,48.2,80.00000000000024,122.5,714.3000000000001,-39.6,1.2246467991473532e-16,-1.0,1,JUN,1,0.52200055,1,TRUE_POSITIVE
Assam & Meghalaya,2011,7.0,2,395.8,950.0999999999996,1162.5999999999997,2014.4000000000003,494.5658119658119,-98.7658119658119,-19.970206103255546,98.7658119658119,0,-0.8045234704576996,0,2011-07-01,316.0,238.3,92.1,646.3999999999997,777.8999999999994,2033.7000000000005,223.9,-0.4999999999999997,-0.8660254037844388,1,JUL,1,0.52083,1,TRUE_POSITIVE
Coastal Karnataka,2002,4.0,1,30.9,42.59999999999954,92.40000000000023,3082.1,30.5017094017094,0.3982905982905969,1.3057976293888485,0.0,0,0.0165026259223133,0,2002-04-01,0.5,11.2,0.6,12.299999999999544,231.20000000000024,3122.6000000000004,-0.0999999999999999,0.8660254037844387,-0.4999999999999998,1,APR,1,0.5207737,1,TRUE_POSITIVE
Arunachal Pradesh,2014,1.0,0,19.0,46.90000000000091,757.2999999999992,2043.4,46.71632653061224,-27.716326530612243,-59.32899392774452,27.716326530612243,0,-0.8109773061217759,0,2014-01-01,14.6,13.3,164.1,192.0000000000009,1067.8999999999992,2042.9,-149.5,0.4999999999999999,0.8660254037844387,1,JAN,1,0.5202853,1,TRUE_POSITIVE
North Interior Karnataka,2002,6.0,2,108.2,163.49999999999983,175.49999999999983,674.9000000000001,101.55811965811964,6.641880341880352,6.539979633572636,0.0,0,0.1951223665237411,0,2002-06-01,40.6,14.7,0.3,55.59999999999983,68.69999999999983,627.6,40.3,1.2246467991473532e-16,-1.0,1,JUN,1,0.5173618,1,TRUE_POSITIVE
Haryana Delhi & Chandigarh,2004,6.0,2,52.5,111.3,137.0,649.8999999999999,49.136752136752136,3.363247863247864,6.844668638024006,0.0,0,0.0972947016019286,0,2004-06-01,40.7,18.1,0.0,58.8,95.5,623.9999999999998,40.7,1.2246467991473532e-16,-1.0,1,JUN,1,0.51695967,1,TRUE_POSITIVE
Telangana,2002,7.0,2,91.7,266.9000000000002,292.29999999999967,850.8000000000001,246.5076923076923,-154.80769230769232,-62.80034949759721,154.80769230769232,0,-1.617386234403454,0,2002-07-01,143.2,32.0,7.7,182.9000000000002,219.3999999999997,882.9,135.5,-0.4999999999999997,-0.8660254037844388,1,JUL,1,0.51665807,1,TRUE_POSITIVE
East Rajasthan,2002,5.0,1,8.6,9.9,28.3,543.2000000000002,9.862393162393165,-1.2623931623931632,-12.800069330097935,1.2623931623931632,0,-0.103813214979644,0,2002-05-01,1.2,0.1,11.0,12.3,19.7,557.5000000000002,-9.8,0.4999999999999999,-0.8660254037844387,1,MAY,1,0.51656234,1,TRUE_POSITIVE
Himachal Pradesh,2000,7.0,2,265.1,542.9999999999998,755.7000000000003,1307.7,278.99829059829057,-13.898290598290544,-4.981496685333346,13.898290598290544,0,-0.1464793936597496,0,2000-07-01,198.0,79.9,25.6,303.4999999999998,608.8000000000002,1346.7,172.4,-0.4999999999999997,-0.8660254037844388,1,JUL,1,0.51628584,1,TRUE_POSITIVE
Sub Himalayan West Bengal & Sikkim,2016,6.0,2,570.8,905.9000000000012,1032.6000000000008,2493.8,536.9897435897436,33.81025641025633,6.296257389244873,0.0,0,0.2530691016462646,0,2016-06-01,233.7,101.4,98.9,434.0000000000013,470.8000000000009,2431.2,134.79999999999998,1.2246467991473532e-16,-1.0,1,JUN,1,0.51508695,1,TRUE_POSITIVE
Assam & Meghalaya,2002,8.0,2,312.5,1380.1,2030.2,2547.1000000000004,403.3897435897436,-90.8897435897436,-22.53149591284118,90.8897435897436,0,-0.8927203158448476,0,2002-08-01,565.1,502.5,286.9,1354.5,1723.3999999999996,2530.2000000000003,278.20000000000005,-0.8660254037844385,-0.5000000000000004,1,AUG,1,0.5138011,1,TRUE_POSITIVE
Assam & Meghalaya,2005,6.0,2,373.9,862.5999999999999,1088.0999999999997,2893.8,508.7418803418804,-134.84188034188037,-26.50496952428314,134.84188034188037,0,-1.270212723306574,0,2005-06-01,281.2,207.5,172.2,660.8999999999999,720.7999999999995,2917.8,109.0,1.2246467991473532e-16,-1.0,1,JUN,1,0.51360697,1,TRUE_POSITIVE
Coastal Andhra Pradesh,2002,5.0,1,35.0,77.09999999999988,109.20000000000032,981.3,62.77606837606838,-27.77606837606838,-44.2462694695567,27.77606837606838,0,-0.4376442066381492,0,2002-05-01,34.8,7.3,0.0,42.09999999999988,152.20000000000033,997.1,34.8,0.4999999999999999,-0.8660254037844387,1,MAY,1,0.5133887,1,TRUE_POSITIVE
Kerala,2000,6.0,2,633.8,854.5999999999996,945.6000000000004,2641.2,653.1649572649573,-19.364957264957297,-2.964788151839241,19.364957264957297,0,-0.1039881552768386,0,2000-06-01,124.5,96.3,21.5,242.29999999999964,316.70000000000044,2614.7,103.0,1.2246467991473532e-16,-1.0,1,JUN,1,0.513384,1,TRUE_POSITIVE
Assam & Meghalaya,2013,4.0,1,112.8,166.3999999999999,186.89999999999944,2446.9,205.1025641025641,-92.30256410256412,-45.00312539067384,92.30256410256412,0,-1.2267704593303437,1,2013-04-01,44.0,9.6,1.1,54.69999999999989,273.49999999999943,2613.2000000000003,42.9,0.8660254037844387,-0.4999999999999998,1,APR,1,0.5103463,1,TRUE_POSITIVE
North Interior Karnataka,2001,6.0,2,60.9,96.2999999999998,98.49999999999984,642.9999999999999,101.55811965811964,-40.65811965811965,-40.03433678664904,40.65811965811965,0,-1.1944371349291378,1,2001-06-01,13.3,22.1,0.1,35.4999999999998,38.09999999999983,689.5999999999999,13.2,1.2246467991473532e-16,-1.0,1,JUN,1,0.51028347,1,TRUE_POSITIVE
Sub Himalayan West Bengal & Sikkim,2014,6.0,2,543.2,899.7000000000014,964.200000000001,2495.5,536.9897435897436,6.21025641025642,1.1564944180760763,0.0,0,0.0464836466090744,0,2014-06-01,308.6,47.9,37.7,394.2000000000014,423.70000000000095,2357.2000000000003,270.90000000000003,1.2246467991473532e-16,-1.0,1,JUN,1,0.5094989,1,TRUE_POSITIVE
Rayalseema,2016,7.0,2,131.0,340.1000000000005,341.29999999999995,1151.8,96.0051282051282,34.9948717948718,36.45104428182256,0.0,0,0.767719154672871,0,2016-07-01,128.6,80.5,0.4,209.50000000000043,218.19999999999996,1063.9,128.2,-0.4999999999999997,-0.8660254037844388,1,JUL,1,0.50926507,1,TRUE_POSITIVE
East Uttar Pradesh,2014,6.0,2,47.8,60.20000000000022,148.8,802.1,109.9128205128205,-62.112820512820505,-56.51098772920263,62.112820512820505,0,-0.9672603982037918,0,2014-06-01,10.7,1.7,15.4,27.800000000000225,102.1,1064.0,-4.700000000000001,1.2246467991473532e-16,-1.0,1,JUN,1,0.509008,1,TRUE_POSITIVE
East Uttar Pradesh,2004,5.0,1,25.8,34.50000000000017,68.39999999999995,1091.3000000000002,17.473504273504275,8.326495726495725,47.65212287223634,0.0,0,0.5887385631655578,0,2004-05-01,8.7,0.0,1.8,10.50000000000017,42.599999999999945,1067.5000000000002,6.9,0.4999999999999999,-0.8660254037844387,1,MAY,1,0.5089646,1,TRUE_POSITIVE
Matathwada,2015,5.0,1,12.3,83.90000000000018,98.89999999999988,531.8000000000002,15.461538461538462,-3.161538461538461,-20.447761194029848,3.161538461538461,0,-0.1457956843700706,0,2015-05-01,39.6,32.0,1.6,73.20000000000017,106.49999999999989,526.5000000000002,38.0,0.4999999999999999,-0.8660254037844387,1,MAY,1,0.5083639,1,TRUE_POSITIVE
Assam & Meghalaya,2014,8.0,2,484.6,1285.4,1717.2999999999995,2106.2000000000003,403.3897435897436,81.21025641025642,20.13195865803893,0.0,0,0.7976482591880275,0,2014-08-01,374.4,426.4,351.1,1151.9,1260.9999999999995,1911.3,23.299999999999955,-0.8660254037844385,-0.5000000000000004,1,AUG,1,0.5073584,1,TRUE_POSITIVE
Madhya Maharashtra,2015,7.0,2,111.7,313.1,364.6999999999998,811.2000000000002,249.85641025641027,-138.15641025641025,-55.29432289314889,138.15641025641025,0,-1.8800579028326927,0,2015-07-01,177.0,24.4,9.6,210.99999999999997,254.39999999999984,977.4,167.4,-0.4999999999999997,-0.8660254037844388,1,JUL,1,0.50673825,1,TRUE_POSITIVE
Kerala,2000,5.0,1,124.5,242.29999999999964,316.70000000000044,2614.7,229.98376068376064,-105.48376068376066,-45.865743029050726,105.48376068376066,0,-0.7126754480360687,0,2000-05-01,96.3,21.5,57.8,175.59999999999965,260.3000000000004,2943.4,38.5,0.4999999999999999,-0.8660254037844387,1,MAY,1,0.5061197,1,TRUE_POSITIVE
Naga Mani Mizo Tripura,2013,6.0,2,206.6,615.8000000000002,641.4,1706.2,444.7726495726496,-238.1726495726496,-53.54930205386792,238.1726495726496,0,-1.924737208474396,0,2013-06-01,348.9,60.3,19.7,428.90000000000015,435.2,1895.8,329.2,1.2246467991473532e-16,-1.0,1,JUN,1,0.5060213,1,TRUE_POSITIVE
