year,month,season,rainfall_mm,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_zscore,rainfall_lag_1m,rainfall_lag_2m,rainfall_lag_3m,rainfall_prev_3m,rainfall_prev_6m,rainfall_prev_12m,rainfall_trend_3m,month_sin,month_cos
-0.1910312,0.0,-0.38028693,-0.06942064,0.0815002,0.011960425,-0.11889383,-0.59975034,-0.0048271846,-0.03356663,-0.028004957,5.8580616e-05,-0.08375514,0.06394937,-0.03198144,0.011672335,0.049298115,-0.4620144,-0.24442993,0.006340746,-0.07921267,-1.5205758
-0.42209104,0.0,0.03657705,0.013682762,0.012794406,0.00010987652,-0.0980642,-0.023438985,-0.018823322,-0.024006026,-0.018882727,5.8720405e-05,-0.03063418,0.014434096,-0.06511405,-0.03345805,-0.085886635,-0.023629338,-0.043725453,0.09502163,-0.13507225,0.34029493
-0.33082908,0.0,0.070313185,-0.01081859,0.03321063,0.03218879,0.25431386,0.07015163,0.010333498,-0.007242781,0.0070934803,5.920297e-05,-0.0730581,0.026535869,-0.046708558,0.018961107,0.048092954,-0.065883584,0.28988853,0.014995437,0.18687665,-0.35742018
-0.37370065,0.0,0.04112316,-0.010034892,0.008744866,0.03997719,-0.41659075,0.10214973,-0.000518801,0.024412412,0.004209076,5.902269e-05,-0.05337625,0.014064823,-0.0009450106,0.036392342,-0.0012379824,0.118442595,-0.30895865,0.017606338,-0.26476988,0.28887436
-0.58500904,0.0,0.06562724,-0.048867583,0.023699434,0.031010887,-0.10181222,-0.120853595,0.028884998,-0.025694873,0.005509715,5.860905e-05,0.040949337,0.027545188,0.011379314,-0.02752941,0.0061104945,0.16519925,-0.030219195,0.018965447,0.05208754,0.77186745
-0.28622827,0.0,0.050019473,0.040773183,0.0036150583,-0.009142045,0.1754485,0.09295318,-0.028264618,0.049968246,0.0020823302,5.8818776e-05,0.10180099,-0.13359296,-0.109433025,-0.09645257,-0.10623857,-0.12762178,0.2711361,-0.030830314,-0.0024846536,0.5815304
-0.45587486,0.0,0.04436773,0.023169795,-0.0049208812,0.0023730758,0.0038247975,0.06897111,0.0071521914,0.03208191,0.003270717,5.8818776e-05,-0.041236825,0.0071508526,0.0058208453,-0.043947197,0.002789625,0.0220863,0.061878756,0.0020904536,0.031900615,0.595329
-0.36144957,0.0,0.031884715,0.029599369,-0.2784936,-0.017032743,-0.009680792,0.027463824,-0.005052545,-0.044795394,-0.037236083,5.8818776e-05,0.16423403,-0.107840516,-0.031023586,0.027040107,-0.097088136,-0.11434706,0.03379012,-0.030894231,-0.17361546,0.23420963
-0.28085184,0.0,-0.08279697,-0.029625783,-0.0057995874,-0.13896102,0.20203692,-0.92311823,-0.07757642,-0.073505044,0.0030383307,5.9119862e-05,-0.21563593,-0.048684597,-0.06334175,-0.03771899,-0.12845318,-0.39407817,0.031028347,-0.0595304,-0.07301971,-1.4836574
-0.23171416,0.0,0.043190084,-0.023934234,-0.33329162,-0.045653716,-0.09735935,-0.0602411,-0.013091475,-0.10092286,-0.046269633,5.8761776e-05,-0.032662477,-0.16264707,-0.0676208,-0.11195473,-0.17841756,-0.13513194,-0.04542237,-0.04154691,-0.2851716,-0.73912776
