subdivision,year,month,season,rainfall_mm,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_zscore,target_3m_stress,date,rainfall_lag_1m,rainfall_lag_2m,rainfall_lag_3m,rainfall_prev_3m,rainfall_prev_6m,rainfall_prev_12m,rainfall_trend_3m,month_sin,month_cos,target_3m_severe_anomaly,predicted_probability,actual,risk_alert
Konkan & Goa,2005,,1,4.0,6.000000000000455,17.500000000000227,2982.999999999999,4.195726495726496,-0.1957264957264959,-4.664901201874113,0.1957264957264959,0,-0.0216505874827437,0,2005-04-01,1.9,0.1,1.3,3.3000000000004546,46.40000000000023,2989.399999999999,0.5999999999999999,0.8660254037844387,-0.4999999999999998,0,0.7149243,0,1
Assam & Meghalaya,2012,,2,444.3,1359.8,1674.5999999999997,2259.6000000000004,494.5658119658119,-50.26581196581191,-10.163624486297214,50.26581196581191,0,-0.4094536832452468,0,2012-07-01,729.7,185.8,279.1,1194.6,1245.4999999999995,2211.1000000000004,450.6,-0.4999999999999997,-0.8660254037844388,0,0.71209425,0,1
Naga Mani Mizo Tripura,2003,,0,11.5,21.300000000000228,417.80000000000007,2235.2000000000003,36.41367521367521,-24.91367521367521,-68.41845836071731,24.91367521367521,0,-0.6639994903940599,0,2003-02-01,3.8,6.0,71.9,81.70000000000023,764.6999999999999,2227.6000000000004,-68.10000000000001,0.8660254037844386,0.5000000000000001,0,0.7107974,0,1
Kerala,2009,,1,191.6,323.1999999999994,345.00000000000034,2414.8,229.98376068376064,-38.38376068376067,-16.68976999490859,38.38376068376067,0,-0.2593305705569115,0,2009-05-01,69.0,62.6,1.5,133.09999999999943,208.80000000000035,2304.4,67.5,0.4999999999999999,-0.8660254037844387,0,0.7094803,0,1
Konkan & Goa,2000,,2,739.4,930.6000000000004,931.8000000000002,2798.099999999999,690.8752136752137,48.52478632478631,7.023668726896639,0.0,0,0.247159878488994,0,2000-06-01,190.3,0.9,0.0,191.20000000000047,192.40000000000023,3037.3999999999987,190.3,1.2246467991473532e-16,-1.0,0,0.7088063,0,1
Coastal Karnataka,2011,,2,1018.4,1133.7999999999995,1151.1000000000004,3994.4,842.2820512820513,176.1179487179487,20.90961673110293,0.0,0,0.9164490565776928,0,2011-06-01,49.3,66.1,8.7,124.09999999999954,143.70000000000044,3658.7,40.6,1.2246467991473532e-16,-1.0,0,0.7085818,0,1
Naga Mani Mizo Tripura,2017,,2,431.5,1130.9,1545.7,2368.2,437.6615384615385,-6.161538461538498,-1.4078318335208182,6.161538461538498,0,-0.0537822099673006,0,2017-07-01,502.7,196.7,277.6,977.0000000000002,1115.0,2262.9,225.1,-0.4999999999999997,-0.8660254037844388,0,0.7083782,0,1
Naga Mani Mizo Tripura,2005,,0,15.0,21.900000000000222,512.0,2367.6,36.41367521367521,-21.41367521367521,-58.806684818326914,21.41367521367521,0,-0.5707174596841325,0,2005-02-01,6.4,0.5,6.4,13.300000000000228,781.3,2355.3,0.0,0.8660254037844386,0.5000000000000001,0,0.7077178,0,1
Coastal Karnataka,2000,,2,966.8,1208.9999999999995,1225.3000000000002,3807.6,842.2820512820513,124.51794871794868,14.78340284331334,0.0,0,0.647942798904084,0,2000-06-01,216.4,25.8,0.9,243.0999999999996,259.0000000000002,3694.9,215.5,1.2246467991473532e-16,-1.0,0,0.7073065,0,1
Konkan & Goa,2010,,2,680.8,690.5000000000002,693.2000000000008,3073.199999999999,690.8752136752137,-10.075213675213718,-1.4583261167551689,10.075213675213718,0,-0.0513178681725486,0,2010-06-01,8.2,1.5,0.0,9.700000000000228,12.400000000000908,2722.999999999999,8.2,1.2246467991473532e-16,-1.0,0,0.7071896,0,1
Coastal Karnataka,2001,,1,156.9,228.6999999999996,232.10000000000025,3322.6,122.5974358974359,34.302564102564105,27.979838119339927,0.0,0,0.2758839067070469,0,2001-05-01,71.4,0.4,0.4,72.19999999999955,87.70000000000023,3382.1,71.0,0.4999999999999999,-0.8660254037844387,0,0.70704687,0,1
Naga Mani Mizo Tripura,2007,,1,28.7,91.30000000000028,198.4000000000001,1945.0,77.44273504273504,-48.74273504273504,-62.94035846724351,48.74273504273504,0,-0.8080143991742129,0,2007-03-01,54.7,7.9,3.7,66.3000000000003,400.8,1921.8,51.0,1.0,6.123233995736766e-17,0,0.7069283,0,1
Konkan & Goa,2015,,1,11.3,51.70000000000045,66.10000000000113,2781.7,33.36239316239316,-22.06239316239316,-66.12952810370446,22.06239316239316,0,-0.3809831099012176,0,2015-05-01,3.6,36.8,0.0,40.40000000000045,62.800000000001134,2791.699999999999,3.6,0.4999999999999999,-0.8660254037844387,1,0.70671195,1,1
Assam & Meghalaya,2001,,2,451.1,1117.3000000000002,1386.4999999999995,2311.6000000000004,494.5658119658119,-43.465811965811895,-8.788681084331923,43.465811965811895,0,-0.3540624553474183,0,2001-07-01,399.8,266.4,198.6,864.8,940.8999999999996,2173.8,201.2,-0.4999999999999997,-0.8660254037844388,0,0.705787,0,1
Naga Mani Mizo Tripura,2001,,2,322.6,1114.4,1283.7,2259.0,437.6615384615385,-115.06153846153848,-26.29007311586052,115.06153846153848,0,-1.0043374490522825,0,2001-07-01,478.0,313.8,83.6,875.4000000000002,962.6,2205.6,394.4,-0.4999999999999997,-0.8660254037844388,0,0.7052493,0,1
Naga Mani Mizo Tripura,2013,,1,19.7,25.60000000000017,218.9,1893.6,77.44273504273504,-57.74273504273504,-74.56184884336923,57.74273504273504,0,-0.9572085218715156,0,2013-03-01,5.7,0.2,0.4,6.30000000000017,447.9,1894.2,5.3,1.0,6.123233995736766e-17,1,0.70478314,1,1
Kerala,2013,,1,49.3,139.2999999999994,265.50000000000057,2083.9,109.41965811965812,-60.119658119658126,-54.94411073183306,60.119658119658126,0,-1.3309864938767575,0,2013-04-01,49.9,40.1,3.9,93.89999999999944,403.70000000000056,2205.7,46.0,0.8660254037844387,-0.4999999999999998,0,0.70433336,0,1
Assam & Meghalaya,2015,,1,37.5,66.39999999999989,104.79999999999944,2213.0,79.22136752136751,-41.72136752136751,-52.664285945473566,41.72136752136751,0,-0.8619466125981784,0,2015-03-01,15.5,13.4,0.4,29.299999999999887,487.4999999999994,2204.8,15.1,1.0,6.123233995736766e-17,0,0.7041747,0,1
Naga Mani Mizo Tripura,2004,,1,11.0,18.500000000000227,239.6,2087.5,77.44273504273504,-66.44273504273504,-85.79595620695744,66.44273504273504,0,-1.1014295071455746,0,2004-03-01,2.7,4.8,40.9,48.40000000000023,516.9999999999999,2154.5,-38.2,1.0,6.123233995736766e-17,0,0.7022289,0,1
Assam & Meghalaya,2001,,2,295.6,1146.5,1642.3999999999996,2094.0,403.3897435897436,-107.78974358974358,-26.72099261387472,107.78974358974358,0,-1.0587123490700396,0,2001-08-01,451.1,399.8,266.4,1117.3000000000002,1386.4999999999995,2311.6000000000004,184.70000000000005,-0.8660254037844385,-0.5000000000000004,0,0.69900525,0,1
Gangetic West Bengal,2015,,2,247.2,393.5000000000003,431.19999999999993,1309.6,246.1025641025641,1.0974358974358722,0.4459262346322047,0.0,0,0.011065832366138,0,2015-06-01,57.6,88.7,19.3,165.6000000000003,184.5999999999999,1256.0,38.3,1.2246467991473532e-16,-1.0,0,0.69798946,0,1
Kerala,2007,,1,7.3,13.39999999999943,554.4000000000004,3334.7000000000003,37.12735042735042,-29.82735042735042,-80.33794516448353,29.82735042735042,0,-0.979221113291632,0,2007-03-01,5.6,0.5,1.8,7.899999999999431,1021.9000000000004,3418.1,3.8,1.0,6.123233995736766e-17,0,0.6975835,0,1
Naga Mani Mizo Tripura,2003,,2,281.7,1135.0000000000002,1637.5,2055.3,411.6213675213675,-129.92136752136753,-31.56331953895062,129.92136752136753,0,-1.0271663361675645,0,2003-08-01,262.4,590.9,265.6,1118.9,1367.3000000000002,2132.0,-3.200000000000045,-0.8660254037844385,-0.5000000000000004,0,0.69730115,0,1
Andaman & Nicobar Islands,2005,,2,311.1,1192.7999999999995,1569.499999999999,2244.4,398.6136363636364,-87.51363636363635,-21.954501396886933,87.51363636363635,0,-0.6271589919127535,0,2005-08-01,429.3,452.4,305.3,1186.9999999999995,1258.399999999999,2242.0,124.0,-0.8660254037844385,-0.5000000000000004,0,0.6969246,0,1
