subdivision,year,month,season,rainfall_mm,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_zscore,target_3m_stress,date,rainfall_lag_1m,rainfall_lag_2m,rainfall_lag_3m,rainfall_prev_3m,rainfall_prev_6m,rainfall_prev_12m,rainfall_trend_3m,month_sin,month_cos,target_3m_severe_anomaly,predicted_probability,actual,risk_alert
Andaman & Nicobar Islands,2010,,2,448.9,780.3999999999996,890.799999999999,2271.3,470.08363636363634,-21.183636363636367,-4.506354768590503,21.183636363636367,0,-0.1445370914431714,0,2010-06-01,319.0,12.5,0.7,332.19999999999965,489.8999999999989,2455.9,318.3,1.2246467991473532e-16,-1.0,0,0.6892954,0,1
Konkan & Goa,2012,,1,1.1,1.700000000000455,1.700000000001137,3822.399999999999,33.36239316239316,-32.26239316239316,-96.70287441717475,32.26239316239316,0,-0.5571211966621958,0,2012-05-01,0.6,0.0,0.0,0.6000000000004547,3.700000000001137,3822.399999999999,0.6,0.4999999999999999,-0.8660254037844387,0,0.6887613,0,1
Coastal Karnataka,2013,,1,28.5,67.09999999999977,141.10000000000045,3094.2,30.5017094017094,-2.0017094017094017,-6.562613836971447,2.0017094017094017,0,-0.0829380899357468,0,2013-04-01,19.0,19.6,2.4,40.99999999999977,227.70000000000044,3142.7,16.6,0.8660254037844387,-0.4999999999999998,0,0.68854195,0,1
Konkan & Goa,2011,,1,1.1,4.500000000000227,5.900000000001137,3770.199999999999,33.36239316239316,-32.26239316239316,-96.70287441717475,32.26239316239316,0,-0.5571211966621958,0,2011-05-01,3.4,0.0,0.0,3.4000000000002277,111.50000000000114,3777.299999999999,3.4,0.4999999999999999,-0.8660254037844387,0,0.6879053,0,1
Assam & Meghalaya,2006,,2,350.3,1071.9,1302.5999999999997,2208.9,494.5658119658119,-144.2658119658119,-29.17019504287624,144.2658119658119,0,-1.1751559512446397,1,2006-07-01,395.9,325.7,169.0,890.5999999999998,952.9999999999995,2333.1000000000004,226.9,-0.4999999999999997,-0.8660254037844388,1,0.6879037,1,1
Jharkhand,2008,,1,42.9,59.79999999999994,82.80000000000028,1364.1,48.59145299145299,-5.691452991452991,-11.7128685006684,5.691452991452991,0,-0.1996821432019168,0,2008-05-01,10.7,6.2,3.6,20.499999999999943,47.50000000000029,1379.3,7.1,0.4999999999999999,-0.8660254037844387,0,0.6876487,0,1
Sub Himalayan West Bengal & Sikkim,2014,,1,37.7,64.50000000000136,283.10000000000093,2411.9,43.96666666666667,-6.266666666666666,-14.253222137983318,6.266666666666666,0,-0.200557634091861,0,2014-03-01,26.6,0.2,2.7,29.500000000001364,553.4000000000009,2406.3,23.9,1.0,6.123233995736766e-17,0,0.6874206,0,1
Konkan & Goa,2006,,1,0.0,9.900000000000457,10.000000000000457,3618.399999999999,4.195726495726496,-4.195726495726496,-100.0,4.195726495726496,0,-0.4641167421519179,0,2006-04-01,9.9,0.0,0.0,9.900000000000457,86.50000000000045,3622.399999999999,9.9,0.8660254037844387,-0.4999999999999998,0,0.6871791,0,1
Coastal Karnataka,2002,,1,164.0,195.39999999999955,207.80000000000024,3089.2,122.5974358974359,41.4025641025641,33.77115010561981,0.0,0,0.3329868023320889,0,2002-05-01,30.9,0.5,11.2,42.59999999999954,92.40000000000023,3082.1,19.7,0.4999999999999999,-0.8660254037844387,1,0.68702406,1,1
Naga Mani Mizo Tripura,2006,,2,335.0,1162.8000000000002,1291.8,2140.2000000000003,437.6615384615385,-102.6615384615385,-23.456833520809905,102.6615384615385,0,-0.896101590790999,1,2006-07-01,445.6,382.2,111.1,938.9000000000004,957.4,2106.7000000000003,334.5,-0.4999999999999997,-0.8660254037844388,0,0.68682784,0,1
Assam & Meghalaya,2010,,0,3.1,7.599999999999772,344.79999999999944,2052.3,31.363247863247864,-28.263247863247862,-90.11581959395014,28.263247863247862,0,-1.3561889596884684,0,2010-02-01,0.5,4.0,9.0,13.499999999999773,875.4999999999994,2060.8,-8.5,0.8660254037844386,0.5000000000000001,0,0.68676066,0,1
Coastal Karnataka,2006,,2,800.1,1161.6999999999994,1167.4000000000003,3698.5,842.2820512820513,-42.18205128205125,-5.008067216658038,42.18205128205125,0,-0.2194989288903068,0,2006-06-01,355.7,5.9,4.7,366.2999999999993,369.6000000000004,3720.0,351.0,1.2246467991473532e-16,-1.0,0,0.68671894,0,1
Naga Mani Mizo Tripura,2010,,2,393.2,1172.3000000000002,1713.6,2178.3,411.6213675213675,-18.42136752136753,-4.475318575489466,18.42136752136753,0,-0.1456404665768875,0,2010-08-01,367.5,411.6,294.0,1073.1,1328.3000000000002,2166.0,73.5,-0.8660254037844385,-0.5000000000000004,0,0.6865129,0,1
Assam & Meghalaya,2006,,2,395.9,890.5999999999998,952.9999999999995,2333.1000000000004,508.7418803418804,-112.84188034188035,-22.18057618257206,112.84188034188035,0,-1.0629723626568024,1,2006-06-01,325.7,169.0,20.8,515.4999999999999,558.3999999999995,2311.1,304.9,1.2246467991473532e-16,-1.0,1,0.68650365,1,1
Kerala,2013,,2,1042.7,1211.2999999999995,1305.2000000000007,2720.3,653.1649572649573,389.5350427350428,59.63808045767944,0.0,0,2.0917696824977186,0,2013-06-01,119.3,49.3,49.9,218.49999999999943,271.90000000000055,2107.9,69.4,1.2246467991473532e-16,-1.0,0,0.6859404,0,1
Himachal Pradesh,2004,,1,57.6,118.19999999999978,287.80000000000024,923.9,58.29230769230769,-0.6923076923076863,-1.1876484560569969,0.6923076923076863,0,-0.020544156104619,0,2004-05-01,54.7,5.9,43.0,103.59999999999977,252.70000000000024,902.2,11.700000000000005,0.4999999999999999,-0.8660254037844387,0,0.6855199,0,1
Naga Mani Mizo Tripura,2001,,1,313.8,436.2000000000002,485.70000000000016,2053.0,289.9905982905983,23.809401709401698,8.210404699238698,0.0,0,0.2125095984245809,0,2001-05-01,83.6,38.8,46.9,169.3000000000002,196.1000000000001,2142.8,36.7,0.4999999999999999,-0.8660254037844387,0,0.6854425,0,1
Coastal Andhra Pradesh,2006,,2,132.0,257.5999999999999,288.3000000000004,1302.2,124.47435897435898,7.525641025641022,6.045936759707485,0.0,0,0.1487851627301895,0,2006-06-01,67.6,58.0,30.7,156.2999999999999,160.5000000000004,1258.3,36.89999999999999,1.2246467991473532e-16,-1.0,0,0.6854011,0,1
Coastal Karnataka,2001,,2,930.0,1158.2999999999995,1159.7000000000005,3285.8,842.2820512820513,87.71794871794873,10.4143200706262,0.0,0,0.4564499639740687,0,2001-06-01,156.9,71.4,0.4,228.69999999999956,232.10000000000025,3322.6,156.5,1.2246467991473532e-16,-1.0,0,0.68495107,0,1
